session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Borno,North East,Borno,,,,0,128,176,9,8,0,0,0,168,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Gombe,North East,Gombe,,,,0,91,124,90,85,4,0,0,60,5,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Taraba,North East,Taraba,,,,0,70,91,13,10,0,0,0,33,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Yobe,North East,Yobe,,,,0,83,106,65,47,28,0,0,65,16,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,217,291,24,22,0,0,0,238,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,248,344,79,62,23,0,0,349,16,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Kano,North West,Kano,,,,0,469,621,116,83,124,0,0,803,39,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Katsina,North West,Katsina,,,,0,219,280,146,119,37,0,0,94,12,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,66,93,4,3,0,0,0,111,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,114,157,17,13,15,0,0,117,3,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,88,119,8,6,26,0,0,140,2,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Abia,South East,Abia,,,,0,0,0,136,115,3,0,0,0,2,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Anambra,South East,Anambra,,,,0,0,0,675,602,3,0,0,0,5,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Ebonyi,South East,Ebonyi,,,,0,50,65,17,14,4,0,0,38,2,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Enugu,South East,Enugu,,,,0,125,170,44,43,0,0,0,142,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Imo,South East,Imo,,,,0,144,184,37,36,0,0,0,238,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Akwa Ibom,South South,Akwa Ibom,,,,0,143,186,47,42,4,0,0,140,4,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Bayelsa,South South,Bayelsa,,,,0,85,118,1,0,0,0,0,210,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Cross River,South South,Cross River,,,,0,0,0,188,149,4,0,0,0,4,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Delta,South South,Delta,,,,0,79,107,178,172,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Edo,South South,Edo,,,,0,125,169,21,18,3,0,0,112,2,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Rivers,South South,Rivers,,,,0,182,233,22,21,0,0,0,161,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Ekiti,South West,Ekiti,,,,0,115,157,57,54,3,0,0,192,5,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Lagos,South West,Lagos,,,,0,250,320,28,27,0,0,0,335,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Ogun,South West,Ogun,,,,0,201,276,64,46,13,0,0,375,23,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Ondo,South West,Ondo,,,,0,102,132,165,163,0,0,0,2,1,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Osun,South West,Osun,,,,0,34,46,1066,839,17,0,0,0,27,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,state,Oyo,South West,Oyo,,,,0,274,386,135,126,8,0,0,415,10,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Benue,North Central,Benue,,,,0,155,218,84,73,5,0,0,90,5,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,80,103,5,4,0,0,0,102,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Kogi,North Central,Kogi,,,,0,72,102,232,183,11,0,0,0,19,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Kwara,North Central,Kwara,,,,0,103,140,42,42,0,0,0,176,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Nasarawa,North Central,Nasarawa,,,,0,46,63,59,53,4,0,0,7,2,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Niger,North Central,Niger,,,,0,104,139,59,50,11,0,0,56,4,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Plateau,North Central,Plateau,,,,0,92,119,104,102,0,0,0,22,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Adamawa,North East,Adamawa,,,,0,103,139,4,4,0,0,0,336,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Bauchi,North East,Bauchi,,,,0,132,177,51,50,0,0,0,103,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Borno,North East,Borno,,,,0,155,215,23,22,0,0,0,196,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Gombe,North East,Gombe,,,,0,78,104,16,15,0,0,0,102,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Taraba,North East,Taraba,,,,0,63,86,44,38,5,0,0,21,2,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Yobe,North East,Yobe,,,,0,100,144,26,22,7,0,0,145,4,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,180,235,25,19,17,0,0,188,4,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,127,170,75,75,0,0,0,138,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Kano,North West,Kano,,,,0,335,449,51,37,56,0,0,619,17,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,193,264,116,105,12,0,0,98,5,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,86,118,12,9,12,0,0,134,2,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,81,113,5,3,0,0,0,89,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,68,94,2,1,0,0,0,115,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Abia,South East,Abia,,,,0,0,0,251,199,3,0,0,0,5,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,0,0,495,392,6,0,0,0,7,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,65,81,63,53,8,0,0,24,6,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,170,231,33,28,3,0,0,215,4,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Imo,South East,Imo,,,,0,141,185,31,24,8,0,0,246,9,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,134,173,57,54,4,0,0,121,2,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,63,86,4,4,0,0,0,148,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,0,0,178,169,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Delta,South South,Delta,,,,0,118,163,296,291,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Edo,South South,Edo,,,,0,83,109,79,57,14,0,0,35,13,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,210,283,35,33,0,0,0,191,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,51,69,61,61,0,0,0,36,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,499,643,35,34,0,0,0,691,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,151,199,109,100,7,0,0,189,12,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,113,149,138,123,7,0,0,22,6,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Osun,South West,Osun,,,,0,45,59,844,839,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,122,167,93,92,0,0,0,141,1,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Benue,North Central,Benue,,,,0,127,177,828,692,91,0,0,0,63,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,60,78,30,20,41,0,0,56,8,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Kogi,North Central,Kogi,,,,0,100,139,1013,844,39,0,0,0,65,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Kwara,North Central,Kwara,,,,0,90,118,230,188,36,0,0,0,54,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,46,63,478,401,31,0,0,0,25,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Niger,North Central,Niger,,,,0,107,146,243,176,99,0,0,0,31,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Plateau,North Central,Plateau,,,,0,122,161,299,257,33,0,0,0,19,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Adamawa,North East,Adamawa,,,,0,126,169,98,65,110,0,0,231,63,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Bauchi,North East,Bauchi,,,,0,205,277,199,158,96,0,0,93,24,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Borno,North East,Borno,,,,0,145,202,245,154,151,0,0,12,71,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Gombe,North East,Gombe,,,,0,52,69,125,119,9,0,0,0,6,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Taraba,North East,Taraba,,,,0,36,47,536,392,62,0,0,0,46,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Yobe,North East,Yobe,,,,0,80,111,114,79,62,0,0,26,32,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Jigawa,North West,Jigawa,,,,0,201,267,109,101,35,0,0,159,6,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Kaduna,North West,Kaduna,,,,0,307,408,329,259,108,0,0,189,68,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Kano,North West,Kano,,,,0,462,621,194,186,34,0,0,712,10,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Katsina,North West,Katsina,,,,0,172,219,301,243,87,0,0,0,26,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Kebbi,North West,Kebbi,,,,0,112,153,86,77,37,0,0,106,9,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Sokoto,North West,Sokoto,,,,0,151,202,114,96,44,0,0,92,12,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Zamfara,North West,Zamfara,,,,0,62,82,39,38,0,0,0,64,1,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Abia,South East,Abia,,,,0,0,0,2666,2183,45,0,0,0,47,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Anambra,South East,Anambra,,,,0,0,0,6766,5617,69,0,0,0,78,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Ebonyi,South East,Ebonyi,,,,0,121,157,293,292,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Enugu,South East,Enugu,,,,0,103,140,375,295,47,0,0,0,66,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Imo,South East,Imo,,,,0,144,185,381,329,47,0,0,0,63,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Akwa Ibom,South South,Akwa Ibom,,,,0,166,218,460,407,46,0,0,0,40,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Bayelsa,South South,Bayelsa,,,,0,27,39,96,96,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Cross River,South South,Cross River,,,,0,0,0,2191,1772,47,0,0,0,43,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Delta,South South,Delta,,,,0,83,112,2019,2021,0,0,0,0,1,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Edo,South South,Edo,,,,0,124,166,398,364,20,0,0,0,20,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Rivers,South South,Rivers,,,,0,188,249,547,450,108,0,0,0,57,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Ekiti,South West,Ekiti,,,,0,89,117,66,59,8,0,0,112,9,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Lagos,South West,Lagos,,,,0,465,594,173,146,98,0,0,516,24,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Ogun,South West,Ogun,,,,0,109,141,314,287,22,0,0,0,36,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Ondo,South West,Ondo,,,,0,97,136,690,605,35,0,0,0,35,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Osun,South West,Osun,,,,0,45,59,3393,3029,26,0,0,0,44,1.5
2022/2023,Female,ALL,NECO,5+-year,University,state,Oyo,South West,Oyo,,,,0,232,306,359,328,28,0,0,41,36,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Benue,North Central,Benue,,,,0,835,1121,328,307,15,0,0,508,10,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,511,689,134,127,41,0,0,600,6,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Kogi,North Central,Kogi,,,,0,461,617,577,527,13,0,0,83,20,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Kwara,North Central,Kwara,,,,0,439,588,255,241,12,0,0,641,19,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Nasarawa,North Central,Nasarawa,,,,0,324,433,1171,1075,40,0,0,0,32,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Niger,North Central,Niger,,,,0,828,1102,251,246,11,0,0,540,3,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Plateau,North Central,Plateau,,,,0,545,742,1375,1237,118,0,0,0,63,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Adamawa,North East,Adamawa,,,,0,597,794,58,52,18,0,0,1851,12,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Bauchi,North East,Bauchi,,,,0,1575,2107,418,380,82,0,0,1344,23,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Borno,North East,Borno,,,,0,776,1034,57,51,8,0,0,986,5,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Gombe,North East,Gombe,,,,0,521,711,483,453,35,0,0,375,27,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Taraba,North East,Taraba,,,,0,409,548,86,83,0,0,0,196,1,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Yobe,North East,Yobe,,,,0,473,631,348,327,41,0,0,424,20,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,1248,1712,177,160,52,0,0,1375,12,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,1576,2132,555,514,62,0,0,2096,41,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Kano,North West,Kano,,,,0,2576,3434,532,519,56,0,0,4571,18,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Katsina,North West,Katsina,,,,0,1211,1616,692,647,74,0,0,610,21,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,425,570,22,21,0,0,0,681,1,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,631,850,84,78,15,0,0,638,4,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,552,744,61,56,26,0,0,868,5,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Abia,South East,Abia,,,,0,7,16,753,682,7,0,0,0,7,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Anambra,South East,Anambra,,,,0,0,0,3765,3479,19,0,0,0,20,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Ebonyi,South East,Ebonyi,,,,0,262,347,75,70,4,0,0,214,3,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Enugu,South East,Enugu,,,,0,731,987,267,242,16,0,0,816,21,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Imo,South East,Imo,,,,0,882,1171,231,220,10,0,0,1522,13,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Akwa Ibom,South South,Akwa Ibom,,,,0,821,1114,264,244,17,0,0,849,15,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Bayelsa,South South,Bayelsa,,,,0,494,660,6,6,0,0,0,1172,1,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Cross River,South South,Cross River,,,,0,7,8,1011,936,8,0,0,0,8,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Delta,South South,Delta,,,,0,481,632,1066,1004,10,0,0,0,10,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Edo,South South,Edo,,,,0,731,980,141,131,7,0,0,638,6,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Rivers,South South,Rivers,,,,0,1045,1405,109,99,14,0,0,985,6,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Ekiti,South West,Ekiti,,,,0,671,915,315,299,16,0,0,1145,23,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Lagos,South West,Lagos,,,,0,1376,1863,160,149,42,0,0,1949,10,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Ogun,South West,Ogun,,,,0,1124,1522,339,316,20,0,0,2083,31,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Ondo,South West,Ondo,,,,0,561,731,806,726,32,0,0,55,33,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Osun,South West,Osun,,,,0,193,251,4987,4578,30,0,0,0,50,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,state,Oyo,South West,Oyo,,,,0,1583,2142,744,691,50,0,0,2309,64,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Benue,North Central,Benue,,,,0,877,1165,493,464,20,0,0,459,14,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,453,611,26,25,0,0,0,605,1,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Kogi,North Central,Kogi,,,,0,416,556,1223,1141,20,0,0,0,33,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Kwara,North Central,Kwara,,,,0,608,803,244,221,19,0,0,1008,30,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Nasarawa,North Central,Nasarawa,,,,0,278,380,381,345,13,0,0,35,12,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Niger,North Central,Niger,,,,0,624,830,321,291,44,0,0,346,14,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Plateau,North Central,Plateau,,,,0,526,693,596,555,33,0,0,132,19,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Adamawa,North East,Adamawa,,,,0,559,756,22,18,12,0,0,1826,7,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Bauchi,North East,Bauchi,,,,0,772,1040,356,327,68,0,0,576,18,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Borno,North East,Borno,,,,0,913,1234,137,124,23,0,0,1123,11,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Gombe,North East,Gombe,,,,0,443,594,73,65,9,0,0,598,7,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Taraba,North East,Taraba,,,,0,382,509,244,229,5,0,0,130,5,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Yobe,North East,Yobe,,,,0,565,757,130,128,7,0,0,771,2,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,1000,1323,149,132,52,0,0,1054,12,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,647,862,510,487,40,0,0,575,24,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Kano,North West,Kano,,,,0,2043,2703,249,235,56,0,0,3798,17,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,1089,1471,628,582,74,0,0,556,21,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,513,683,66,63,12,0,0,778,3,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,467,625,22,19,15,0,0,494,2,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,407,546,15,12,26,0,0,666,2,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Abia,South East,Abia,,,,0,7,8,1453,1333,10,0,0,0,12,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,0,0,2910,2771,9,0,0,0,10,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,377,511,324,301,17,0,0,192,14,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,1006,1348,178,160,10,0,0,1266,15,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Imo,South East,Imo,,,,0,907,1206,216,211,5,0,0,1594,6,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,719,950,279,261,17,0,0,685,14,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,368,493,27,25,4,0,0,844,3,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,7,8,1051,975,8,0,0,0,8,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Delta,South South,Delta,,,,0,691,928,2315,2107,29,0,0,0,33,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Edo,South South,Edo,,,,0,467,619,449,408,24,0,0,199,24,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,1218,1604,190,177,14,0,0,1086,8,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,310,412,474,462,13,0,0,76,18,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,2913,3949,222,203,70,0,0,4234,17,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,780,1048,504,462,35,0,0,1089,56,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,694,936,788,746,18,0,0,168,18,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Osun,South West,Osun,,,,0,266,363,4748,4227,38,0,0,0,63,1.5
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,717,944,611,590,22,0,0,694,27,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Benue,North Central,Benue,,,,0,762,1017,4273,4051,151,0,0,0,108,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,321,423,140,127,62,0,0,322,11,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Kogi,North Central,Kogi,,,,0,563,758,5666,5203,111,0,0,0,183,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Kwara,North Central,Kwara,,,,0,539,727,1389,1274,104,0,0,0,154,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,280,375,2650,2485,71,0,0,0,56,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Niger,North Central,Niger,,,,0,640,861,1391,1309,121,0,0,0,40,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Plateau,North Central,Plateau,,,,0,701,939,1739,1601,118,0,0,0,64,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Adamawa,North East,Adamawa,,,,0,728,966,430,381,164,0,0,1564,98,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Bauchi,North East,Bauchi,,,,0,1274,1689,1012,956,137,0,0,682,35,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Borno,North East,Borno,,,,0,902,1200,1291,1151,234,0,0,199,111,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Gombe,North East,Gombe,,,,0,298,395,629,585,49,0,0,0,40,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Taraba,North East,Taraba,,,,0,201,266,2624,2538,38,0,0,0,30,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Yobe,North East,Yobe,,,,0,453,609,619,601,35,0,0,152,19,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Jigawa,North West,Jigawa,,,,0,1072,1420,610,570,138,0,0,827,29,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Kaduna,North West,Kaduna,,,,0,1895,2532,2070,1907,261,0,0,1143,163,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Kano,North West,Kano,,,,0,2616,3504,1019,963,225,0,0,4107,70,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Katsina,North West,Katsina,,,,0,1009,1338,1544,1424,186,0,0,80,55,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Kebbi,North West,Kebbi,,,,0,702,943,472,454,62,0,0,711,19,1.5
2022/2023,Female,ALL,WAEC,1-year,University,state,Sokoto,North West,Sokoto,,,,0,871,1158,630,581,133,0,0,545,32,1.5
