session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,12,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,67,10,2,2,55.7,Primary 1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,2108,10,48,36,55.7,Primary 1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,17,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,561,3,13,10,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,16,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,538,3,12,9,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,67,9,2,2,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,2106,9,48,36,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 2,59,9,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,1872,9,43,32,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,15,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,504,3,11,8,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Pre-Primary/Primary,Primary 3,14,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,483,3,11,8,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,60,10,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,1894,10,43,32,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 3,54,10,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,1683,10,38,29,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,14,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,461,3,10,8,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Pre-Primary/Primary,Primary 4,14,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,442,3,10,8,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,55,11,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,1731,11,39,29,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 4,49,11,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,1538,11,35,26,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,13,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,431,3,10,8,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Pre-Primary/Primary,Primary 5,12,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,413,3,9,7,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,52,10,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1620,10,37,28,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,46,10,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1440,10,33,25,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,12,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,390,3,9,7,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,12,3,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,374,3,9,7,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,46,11,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1465,11,33,25,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,41,11,1,1,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1302,11,30,23,55.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,SSS,SSS1,4,2,1,1,59.7,SSS1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,SSS,SSS1,222,2,5,4,59.7,SSS1,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,SSS,SSS1,4,2,1,1,59.7,SSS1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,SSS,SSS1,229,2,5,4,59.7,SSS1,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,SSS,SSS1,10,4,1,1,59.7,SSS1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,SSS,SSS1,460,4,10,8,59.7,SSS1,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,SSS,SSS1,11,4,1,1,59.7,SSS1,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,SSS,SSS1,487,4,10,8,59.7,SSS1,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,SSS,SSS2,3,2,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,SSS,SSS2,180,2,4,3,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,SSS,SSS2,3,2,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,SSS,SSS2,184,2,4,3,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,SSS,SSS2,9,4,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,SSS,SSS2,370,4,8,6,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,SSS,SSS2,9,4,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,SSS,SSS2,393,4,8,6,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,SSS,SSS3,3,2,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,SSS,SSS3,140,2,3,2,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,SSS,SSS3,3,2,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,SSS,SSS3,143,2,3,2,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,SSS,SSS3,6,4,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,SSS,SSS3,288,4,6,5,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,SSS,SSS3,7,4,1,1,59.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,SSS,SSS3,305,4,6,5,59.7,,1,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Vocational,Vocational Year 1,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Vocational,Vocational Year 1,10,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Vocational,Vocational Year 1,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Vocational,Vocational Year 1,26,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Vocational,Vocational Year 1,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Vocational,Vocational Year 1,12,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Vocational,Vocational Year 1,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Vocational,Vocational Year 1,30,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Vocational,Vocational Year 2,8,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Vocational,Vocational Year 2,22,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Vocational,Vocational Year 2,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Vocational,Vocational Year 2,10,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Vocational,Vocational Year 2,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Vocational,Vocational Year 2,26,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Private,Vocational,Vocational Year 3,6,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Private,Vocational,Vocational Year 3,16,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Disabled,Public,Vocational,Vocational Year 3,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Female,Non-Disabled,Public,Vocational,Vocational Year 3,7,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Disabled,Public,Vocational,Vocational Year 3,0,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna North,Gaji,Male,Non-Disabled,Public,Vocational,Vocational Year 3,19,1,1,1,56.7,,0,"Government Secondary School, Gaji | Community Secondary School, Gaji | Unity College, Kaduna North | Comprehensive High School, Gaji"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,3,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,101,1,4,3,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,4,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,146,1,5,4,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,7,2,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,190,2,7,5,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,8,2,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,253,2,10,8,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,78,1,3,2,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,3,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,114,1,4,3,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,4,2,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,147,2,6,5,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,6,2,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,197,2,7,5,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,43,1,2,2,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
2023/2024,North West,Kaduna,Kaduna South,Badiko,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,2,1,1,1,51.7,,0,"Government Secondary School, Badiko | Community Secondary School, Badiko | Unity College, Kaduna South | Comprehensive High School, Badiko"
