session,zone,state,lga,ward,school
2024/2025,North West,Jigawa,Gwiwa,Furji Yamma,Firjin Yamma Primary School
2024/2025,North West,Jigawa,Gwiwa,Furji Yamma,Hinningere Primary School
2019/2020,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2019/2020,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2019/2020,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2019/2020,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2019/2020,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2019/2020,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2019/2020,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2019/2020,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2020/2021,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2020/2021,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2020/2021,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2020/2021,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2020/2021,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2020/2021,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2020/2021,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2020/2021,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2021/2022,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2021/2022,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2021/2022,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2021/2022,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2021/2022,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2021/2022,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2021/2022,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2021/2022,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2022/2023,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2022/2023,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2022/2023,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2022/2023,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2022/2023,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2022/2023,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2022/2023,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2022/2023,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2023/2024,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2023/2024,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2023/2024,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2023/2024,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2023/2024,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2023/2024,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2023/2024,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2023/2024,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2024/2025,North West,Jigawa,Hadejia,Rumfa,Adamu Abubakar Maje Community Islamiyya Primary School
2024/2025,North West,Jigawa,Hadejia,Rumfa,Adamu Maje Community Nursery And Primary School
2024/2025,North West,Jigawa,Hadejia,Rumfa,"Garko Community Primary School, Hadejia"
2024/2025,North West,Jigawa,Hadejia,Rumfa,"Kofar Arewa Primary School, Hadejia"
2024/2025,North West,Jigawa,Hadejia,Rumfa,Muhammad Faransa
2024/2025,North West,Jigawa,Hadejia,Rumfa,Quranic Science Academy
2024/2025,North West,Jigawa,Hadejia,Rumfa,Tsangayar Alarama Nuhu Gurgu
2024/2025,North West,Jigawa,Hadejia,Rumfa,Tsangayar Malam Usman Mai Almajirai
2019/2020,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2019/2020,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2020/2021,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2020/2021,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2021/2022,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2021/2022,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2022/2023,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2022/2023,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2023/2024,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2023/2024,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2024/2025,North West,Jigawa,Hadejia,Rumfa,"Government Day Junior Secondary School, Gawuna"
2024/2025,North West,Jigawa,Hadejia,Rumfa,Maje Comprehensive High School
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2019/2020,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2020/2021,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2021/2022,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2023/2024,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek"
2024/2025,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri"
2019/2020,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2019/2020,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2019/2020,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2019/2020,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2020/2021,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2020/2021,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2020/2021,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2020/2021,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2021/2022,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2021/2022,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2021/2022,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2021/2022,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2022/2023,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2022/2023,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2022/2023,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2022/2023,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2023/2024,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2023/2024,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2023/2024,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2023/2024,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Masama Primary School, Masama"
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Siminti Nomadic Primary School, Rigar Hardo Bello"
2024/2025,North West,Jigawa,Kaugawa,Hadin,Yola Nomadic Primary School Yola
2024/2025,North West,Jigawa,Kaugawa,Hadin,Alkali Umar Islamic Primary School
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Chinguliskin Kuduprimary School, Chinguliskin Kudu"
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Dingare Community Primary School, Dingare"
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Gadodo Nomadic Primary School, Gadodo"
2024/2025,North West,Jigawa,Kaugawa,Hadin,Gidan Kwari Nomaic Primary School
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Hadin Primary School, Hadin"
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Jalomi Primary School, Jamilo"
2024/2025,North West,Jigawa,Kaugawa,Hadin,Kulle Gaja Nomadic Primary School Kulle Gaja
2019/2020,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2019/2020,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2020/2021,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2020/2021,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2021/2022,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2021/2022,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2022/2023,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2022/2023,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2023/2024,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2023/2024,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2024/2025,North West,Jigawa,Kaugawa,Hadin,Junior Secondary School Bultuwa
2024/2025,North West,Jigawa,Kaugawa,Hadin,"Junior Secondary School, Hadin"
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2023/2024,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2023/2024,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2023/2024,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2023/2024,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2023/2024,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2024/2025,North West,Jigawa,Kazaure,Unguwar Arewa,"Arewa Science Maths Primary School, Kazaure"
2024/2025,North West,Jigawa,Kazaure,Unguwar Arewa,Kafin Chiroma Primary School
2024/2025,North West,Jigawa,Kazaure,Unguwar Arewa,Madrasatul Khalil Kusiri
2024/2025,North West,Jigawa,Kazaure,Unguwar Arewa,"Shagari Primary School, Kazaure"
2024/2025,North West,Jigawa,Kazaure,Unguwar Arewa,"Unguwar Yarima Primary School, Unguwar Yarima"
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,Al Iman Junior Secondary Schools
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,"Junior Secondary School, Arewa Kazaure"
2019/2020,North West,Jigawa,Kazaure,Unguwar Arewa,Saminu Turaki Junior High School
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,Al Iman Junior Secondary Schools
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,"Junior Secondary School, Arewa Kazaure"
2020/2021,North West,Jigawa,Kazaure,Unguwar Arewa,Saminu Turaki Junior High School
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,Al Iman Junior Secondary Schools
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,"Junior Secondary School, Arewa Kazaure"
2021/2022,North West,Jigawa,Kazaure,Unguwar Arewa,Saminu Turaki Junior High School
2022/2023,North West,Jigawa,Kazaure,Unguwar Arewa,Al Iman Junior Secondary Schools
