session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,73,77
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,46,47
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,43,38
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,55,45
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,53,55
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,53,44
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,49,44
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,46,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,46,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Software Engineering,80,66
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Software Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Software Engineering,73,77
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Software Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,73,76
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,73,65
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,69,59
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,66,66
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,63,62
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Technology / ICT,Information Technology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,61,61
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Technology / ICT,Information Technology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,49,47
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,46,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,72,63
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Engineering,Mechanical Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,68,65
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Engineering,Mechanical Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Engineering,Civil Engineering,46,40
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Engineering,Civil Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Engineering,Civil Engineering,44,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Engineering,Civil Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Engineering,Civil Engineering,66,60
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Engineering,Civil Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Engineering,Civil Engineering,60,62
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Engineering,Civil Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,73,68
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,73,63
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,68,68
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,60,49
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,49,48
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,48,44
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,68,71
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,66,66
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,43,43
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Technology / ICT,Information Technology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,43,40
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Technology / ICT,Information Technology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,66,65
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,68,67
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,49,40
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,46,46
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,45,40
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,43,35
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,63,57
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,63,64
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,54,45
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,53,54
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,63,51
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,62,51
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Theatre Arts,69,63
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Theatre Arts,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Theatre Arts,67,60
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Theatre Arts,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Philosophy,57,56
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Philosophy,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Philosophy,55,55
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Philosophy,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Fine and Applied Arts,63,54
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Fine and Applied Arts,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Fine and Applied Arts,57,60
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Fine and Applied Arts,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,History and International Studies,56,48
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,History and International Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,History and International Studies,54,57
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,History and International Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,International Relations,69,73
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,International Relations,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,International Relations,63,65
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,International Relations,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Economics,48,49
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Economics,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Economics,48,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Economics,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Geography,65,64
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Geography,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Geography,61,51
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Geography,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Sociology,49,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Sociology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Sociology,51,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Sociology,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,64,60
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Public Administration,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,63,64
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Public Administration,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Law,70,67
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Law,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Law,73,71
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Law,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Marketing,66,55
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Marketing,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Marketing,63,62
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Marketing,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,65,65
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Business Administration,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,62,54
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Business Administration,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,63,63
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Banking and Finance,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,59,55
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Banking and Finance,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Insurance,75,71
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Insurance,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Insurance,75,75
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Insurance,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Education,Primary Education Studies,64,56
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Education,Primary Education Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Education,Primary Education Studies,59,55
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Education,Primary Education Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,44,45
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Education,Guidance and Counselling,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,45,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Education,Guidance and Counselling,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Education,Curriculum Studies,64,61
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Education,Curriculum Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Education,Curriculum Studies,59,50
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Education,Curriculum Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Education,Educational Management,50,53
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Education,Educational Management,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Education,Educational Management,47,45
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Education,Educational Management,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Education,Adult Education,54,49
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Education,Adult Education,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Education,Adult Education,54,52
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Education,Adult Education,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies,44,40
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies,43,37
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Development Communication,62,58
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Development Communication,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Development Communication,60,50
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Development Communication,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Public Relations,51,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Public Relations,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Public Relations,49,45
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Public Relations,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,Social Sciences,Broadcasting,60,52
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,Social Sciences,Broadcasting,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,Social Sciences,Broadcasting,57,58
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,Social Sciences,Broadcasting,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Igbo,50,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Igbo,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Igbo,48,42
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Igbo,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,French,41,34
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,French,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,French,39,36
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,French,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Arabic Studies,43,36
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Arabic Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Arabic Studies,42,37
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Arabic Studies,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,Yoruba,52,53
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,Yoruba,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,Yoruba,50,49
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,Yoruba,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,Non-STEMM,ART,English Language,40,36
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,Non-STEMM,ART,English Language,6,5
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,Non-STEMM,ART,English Language,40,41
2019/2020,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,Non-STEMM,ART,English Language,6,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,76,70
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Mathematics / Statistics,Data Science,7,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,72,75
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Mathematics / Statistics,Data Science,7,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,57,48
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,7,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,51,53
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,7,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,72,67
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,7,5
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,69,59
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,7,6
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,58,51
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,7,6
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,54,47
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,7,6
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,53,56
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Male,Disabled,STEMM,Computing / ICT,Computer Science,6,6
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,53,53
2020/2021,North East,Gombe,Gombe,University,Gombe State University,Female,Disabled,STEMM,Computing / ICT,Computer Science,6,5
