session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Social Sciences,Geography,27,22,20
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Social Sciences,Geography,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Social Sciences,Political Science,21,16,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Social Sciences,Political Science,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Social Sciences,Political Science,20,15,13
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Social Sciences,Political Science,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,33,28,24
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Business / Administration / Law,Insurance,3,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,38,32,31
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Business / Administration / Law,Insurance,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Arts,Law,33,28,27
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Arts,Law,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Arts,Law,32,27,24
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Arts,Law,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,27,22,19
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Social Sciences,Banking and Finance,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,26,21,20
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Social Sciences,Banking and Finance,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Social Sciences,Accounting,22,17,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Social Sciences,Accounting,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Social Sciences,Accounting,20,16,14
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Social Sciences,Accounting,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,25,20,19
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Social Sciences,Business Administration,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,20,17,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Social Sciences,Business Administration,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Education,Educational Management,21,16,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Education,Educational Management,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Education,Educational Management,21,16,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Education,Educational Management,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Education,Adult Education,27,22,20
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Education,Adult Education,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Education,Adult Education,24,19,17
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Education,Adult Education,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,20,17,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Education,Guidance and Counselling,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,18,15,13
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Education,Guidance and Counselling,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Education,Primary Education Studies,31,27,23
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Education,Primary Education Studies,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Education,Primary Education Studies,26,23,21
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Education,Primary Education Studies,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,29,23,22
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Communication / Media,Broadcasting,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,27,22,21
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Communication / Media,Broadcasting,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Communication / Media,Development Communication,32,27,25
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Communication / Media,Development Communication,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Communication / Media,Development Communication,30,25,23
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Communication / Media,Development Communication,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Communication / Media,Public Relations,25,21,20
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Communication / Media,Public Relations,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Communication / Media,Public Relations,25,20,19
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Communication / Media,Public Relations,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,19,16,16
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,21,18,16
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Languages,Igbo,20,17,16
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Languages,Igbo,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Languages,Igbo,22,19,17
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Languages,Igbo,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Languages,Hausa,29,25,24
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Languages,Hausa,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Languages,Hausa,28,24,21
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Languages,Hausa,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Languages,Linguistics,19,15,13
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Languages,Linguistics,2,2,1
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Languages,Linguistics,21,16,15
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Languages,Linguistics,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Non-Disabled,Non-STEMM,Languages,French,16,13,12
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Male,Disabled,Non-STEMM,Languages,French,2,2,2
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Non-Disabled,Non-STEMM,Languages,French,16,14,12
2024/2025,North East,Taraba,Jalingo,University,"Taraba State University, Jalingo",Female,Disabled,Non-STEMM,Languages,French,2,2,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Physics,8,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Physics,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Physics,7,6,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Physics,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Biological Sciences,Biochemistry,11,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Biological Sciences,Biochemistry,13,10,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Geology,12,10,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Geology,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Geology,14,11,11
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Geology,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Physical Sciences,Microbiology,10,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Physical Sciences,Microbiology,12,9,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Chemistry,10,9,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Chemistry,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Chemistry,9,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Chemistry,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,9,7,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,10,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Technology / ICT,Information Systems,13,10,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Technology / ICT,Information Systems,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Technology / ICT,Information Systems,14,12,10
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Technology / ICT,Information Systems,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,13,9,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Technology / ICT,Information Technology,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,10,7,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Technology / ICT,Information Technology,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Engineering,Civil Engineering,10,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Engineering,Civil Engineering,8,6,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Engineering,Petroleum Engineering,13,11,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Engineering,Petroleum Engineering,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Engineering,Petroleum Engineering,11,9,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Engineering,Petroleum Engineering,2,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Engineering,Chemical Engineering,11,9,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Engineering,Chemical Engineering,11,9,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,10,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,9,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,9,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Mathematics / Statistics,Mathematics,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,8,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Mathematics / Statistics,Mathematics,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Mathematics / Statistics,Operations Research,11,9,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Mathematics / Statistics,Operations Research,13,10,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Mathematics / Statistics,Statistics,9,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Mathematics / Statistics,Statistics,10,8,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,14,11,10
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,11,8,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Social Sciences,Accounting,11,9,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Social Sciences,Accounting,12,10,9
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,15,12,11
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Business / Administration / Law,Insurance,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,17,13,11
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Business / Administration / Law,Insurance,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,10,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,12,9,8
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,8,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,9,8,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication,8,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication,8,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,10,7,6
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,11,9,7
2022/2023,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Physics,11,9,8
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Physics,2,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Physics,10,9,7
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Physics,2,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Biological Sciences,Biochemistry,11,9,8
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Biological Sciences,Biochemistry,2,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Biological Sciences,Biochemistry,12,10,9
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Biological Sciences,Biochemistry,2,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Geology,14,12,11
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Geology,2,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Geology,15,13,11
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Geology,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Physical Sciences,Microbiology,12,11,9
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Physical Sciences,Microbiology,13,12,10
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Science,Chemistry,12,10,8
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Science,Chemistry,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Science,Chemistry,13,10,8
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Science,Chemistry,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,13,11,10
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,11,9,9
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Technology / ICT,Information Systems,17,15,13
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Technology / ICT,Information Systems,15,13,12
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,13,11,9
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Male,Disabled,STEMM,Technology / ICT,Information Technology,1,1,1
2023/2024,North East,Taraba,Wukari,Polytechnic,Taraba State Polytechnic,Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,14,12,11
