session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,JSS,JSS3,13,7,1,1,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,JSS,JSS3,252,3,5,3,60.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,JSS,JSS3,15,6,1,1,60.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,JSS,JSS3,669,6,14,9,60.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,JSS,JSS3,11,6,1,1,60.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,JSS,JSS3,538,6,11,7,60.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 1,26,4,1,1,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,871,4,21,13,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,27,4,1,1,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,935,4,22,14,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,85,15,2,1,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3218,15,76,49,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,90,15,2,1,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3356,15,80,51,58.1,Primary 1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,23,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,773,4,18,12,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,24,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,830,4,20,13,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,76,15,2,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,2859,15,68,44,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 2,80,15,2,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,2982,15,71,46,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,20,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,695,4,17,11,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 3,22,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,747,4,18,12,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,69,15,2,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2569,15,61,39,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 3,72,15,2,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2680,15,64,41,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,18,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,635,4,15,10,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 4,20,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,682,4,16,10,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,62,15,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2349,15,56,36,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 4,65,15,2,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2451,15,58,37,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,17,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,595,4,14,9,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 5,19,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,639,4,15,10,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,58,15,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2200,15,52,33,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,61,15,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2294,15,55,35,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,16,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,538,4,13,8,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,16,4,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,577,4,14,9,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,53,14,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1989,14,47,30,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,55,14,1,1,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,2074,14,49,31,58.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,SSS,SSS1,6,3,1,1,62.1,SSS1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,SSS,SSS1,339,3,7,4,62.1,SSS1,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,SSS,SSS1,6,3,1,1,62.1,SSS1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,SSS,SSS1,355,3,8,5,62.1,SSS1,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,SSS,SSS1,12,5,1,1,62.1,SSS1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,SSS,SSS1,622,5,14,9,62.1,SSS1,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,SSS,SSS1,13,5,1,1,62.1,SSS1,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,SSS,SSS1,649,5,14,9,62.1,SSS1,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,SSS,SSS2,5,3,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,SSS,SSS2,272,3,6,4,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,SSS,SSS2,5,3,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,SSS,SSS2,287,3,6,4,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,SSS,SSS2,9,6,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,SSS,SSS2,501,6,11,7,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,SSS,SSS2,9,6,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,SSS,SSS2,523,6,12,8,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,SSS,SSS3,3,3,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,SSS,SSS3,212,3,5,3,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,SSS,SSS3,4,3,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,SSS,SSS3,222,3,5,3,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,SSS,SSS3,7,6,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,SSS,SSS3,389,6,9,6,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,SSS,SSS3,7,6,1,1,62.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,SSS,SSS3,407,6,9,6,62.1,,1,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Vocational,Vocational Year 1,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Vocational,Vocational Year 1,17,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Vocational,Vocational Year 1,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Vocational,Vocational Year 1,30,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Vocational,Vocational Year 1,20,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Vocational,Vocational Year 1,33,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Vocational,Vocational Year 2,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Vocational,Vocational Year 2,14,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Vocational,Vocational Year 2,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Vocational,Vocational Year 2,26,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Vocational,Vocational Year 2,17,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Vocational,Vocational Year 2,28,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Private,Vocational,Vocational Year 3,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Private,Vocational,Vocational Year 3,10,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Private,Vocational,Vocational Year 3,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Private,Vocational,Vocational Year 3,19,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Female,Non-Disabled,Public,Vocational,Vocational Year 3,12,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Apado,Male,Non-Disabled,Public,Vocational,Vocational Year 3,21,2,1,1,59.1,,0,"Government Secondary School, Apado | Community Secondary School, Apado | Unity College, Ilorin East | Comprehensive High School, Apado"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,1,1,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,82,1,3,2,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,1,1,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,98,1,4,3,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,2,2,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,152,2,6,4,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,4,2,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,207,2,8,5,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,0,1,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,65,1,3,2,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
2024/2025,North Central,Kwara,Ilorin East,Balogun Gambari II,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,1,1,1,1,54.1,,0,"Government Secondary School, Balogun Gambari II | Community Secondary School, Balogun Gambari II | Unity College, Ilorin East | Comprehensive High School, Balogun Gambari II"
