zone,state,lga,ward,school
North East,Bauchi,Bauchi,Mun/Munsal,Tirwun Nursery And Primary School
North East,Bauchi,Bauchi,Mun/Munsal,Tsohon Kamfani Nursery And Primary School
North East,Bauchi,Bauchi,Mun/Munsal,Tudun Wadan Galadima Primary School
North East,Bauchi,Bauchi,Mun/Munsal,Ultimate Royal Crown International Academy
North East,Bauchi,Bauchi,Mun/Munsal,Ungwar Sarkin Yaro Primary School
North East,Bauchi,Bauchi,Mun/Munsal,Unity Science Academy Bauchi
North East,Bauchi,Bauchi,Mun/Munsal,Word Of Faith School
North East,Bauchi,Bauchi,Mun/Munsal,Zafirah Kids International School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Al Hihal Nursery Primary And Secondary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Atap International School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Badagari Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Badas Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Bandas Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Bangum Nomadic Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Bulalusa Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Central Primary School Liman Katagum
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Darus-Salam Secondary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Dokan Zungur Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Dumin Zungur Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Future Leaders Academy
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Gindess Lessoross Academy
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Girl Child Education Centre Liman Katagum Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Gjss Zungur Kogi
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Girls Secondary School Liman Katagum
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary Durum
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Bigi
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Gwallameji
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Liman Katagum
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Luda
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Wuro Jamel
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Yola
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondary School Zungur Dutse
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Government Junior Secondry School Sabon Garin Garkuwa
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Gungu Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Guruel Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Hirnangiwo Nomadic School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Ibrahim Maikafi Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Imam Ismail College  For Arabic And Islamic Studies
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Imam Ismail Tahfiz Liman Katagum
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Iqamatis Sunnah Islamiyya
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Jamda Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Kusada Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Kwanan Dutse Nomadic Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Lekka Primary
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Lobel Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,M And T Royal  Secondary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Maahad For Arabic And Islamic Studies
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Premier Model College
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Rugan Muhammadu Kusada Nomadic Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Sabon Garin Garkuwa Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Shafama Academy
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Tudun Salmanu College For Arabic Studies
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Tudun Wada Liman Katagum Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Unguwar Tungu Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Yola Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Zafirah International Secondary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Zungur Dutse Primary School
North East,Bauchi,Bauchi,Zungur/Liman Katagum,Zungur Kogi Primary School
North East,Bauchi,Bogoro,"B O I ""A""",Government Junior Secondary  School Dashem Yelwa
North East,Bauchi,Bogoro,"B O I ""A""",Government Junior Secondary  School Ginzum
North East,Bauchi,Bogoro,"B O I ""A""",Government Junior Secondary  School Mallar
North East,Bauchi,Bogoro,"B O I ""A""",Government Junior Secondary  School Vung
North East,Bauchi,Bogoro,"B O I ""B""",Government Junior Secondary  School Abuja
North East,Bauchi,Bogoro,"B O I ""B""",Government Junior Secondary  School Dazara Unguwan Rimi
North East,Bauchi,Bogoro,"B O I ""B""",Government Junior Secondary  School Gizaki
North East,Bauchi,Bogoro,"B O I ""B""",Government Junior Secondary  School Molmol
North East,Bauchi,Bogoro,"B O I ""B""",Government Junior Secondary  School Yabra
North East,Bauchi,Bogoro,"B O I ""B""",Salvation Science Secondary School Boi
North East,Bauchi,Bogoro,"B O I ""C""",Government Junior Secondary  School Badagari
North East,Bauchi,Bogoro,"B O I ""C""",Government Junior Secondary  School Dinki
North East,Bauchi,Bogoro,"B O I ""C""",Government Junior Secondary  School Gobbya Kazar
North East,Bauchi,Bogoro,"B O I ""C""",Government Junior Secondary  School Murai
North East,Bauchi,Bogoro,"B O I ""C""",Government Junior Secondary  School Zakkam
North East,Bauchi,Bogoro,"Bogoro ""A""",Government Junior Secondary  School Banram
North East,Bauchi,Bogoro,"Bogoro ""A""",Government Junior Secondary  School Dinkin Fate
North East,Bauchi,Bogoro,"Bogoro ""A""",Government Junior Secondary  School Gwarangah
North East,Bauchi,Bogoro,"Bogoro ""A""",Government Junior Secondary  School Mwari
North East,Bauchi,Bogoro,"Bogoro ""A""",Government Junior Secondary School Ndit
North East,Bauchi,Bogoro,"Bogoro ""B""",Government Junior Secondary  School Bar Arewa
North East,Bauchi,Bogoro,"Bogoro ""B""",Government Junior Secondary  School Dinkin Rimi
North East,Bauchi,Bogoro,"Bogoro ""B""",Government Junior Secondary  School Gyara
North East,Bauchi,Bogoro,"Bogoro ""B""",Government Junior Secondary  School Ndukum
North East,Bauchi,Bogoro,"Bogoro ""C""",Government Junior Secondary  School Bar Kudu
North East,Bauchi,Bogoro,"Bogoro ""C""",Government Junior Secondary  School Dungah
North East,Bauchi,Bogoro,"Bogoro ""C""",Government Junior Secondary  School Jangyar
North East,Bauchi,Bogoro,"Bogoro ""C""",Government Junior Secondary  School Sang
North East,Bauchi,Bogoro,"Bogoro ""C""",Salvation Science School Boi
North East,Bauchi,Bogoro,"Bogoro ""D""",Government Junior Secondary  School Bazanshi
North East,Bauchi,Bogoro,"Bogoro ""D""",Government Junior Secondary  School Bogoro
North East,Bauchi,Bogoro,"Bogoro ""D""",Government Junior Secondary  School Dutsen Lawan
North East,Bauchi,Bogoro,"Bogoro ""D""",Government Junior Secondary  School Jollong
North East,Bauchi,Bogoro,"Bogoro ""D""",Government Junior Secondary  School Saran Kasa
North East,Bauchi,Bogoro,"Bogoro ""D""",Kings &Amp; Queen College Boi
North East,Bauchi,Bogoro,"Lusa ""A""",Government Junior Secondary  School Boi
North East,Bauchi,Bogoro,"Lusa ""A""",Government Junior Secondary  School Dutsen Saki
North East,Bauchi,Bogoro,"Lusa ""A""",Government Junior Secondary  School Kafin Musa
North East,Bauchi,Bogoro,"Lusa ""A""",Government Junior Secondary  School Sum
North East,Bauchi,Bogoro,"Lusa ""A""",Mwa-Yasl Comprehensive College
North East,Bauchi,Bogoro,"Lusa ""B""",Government Junior Secondary  School Bom
North East,Bauchi,Bogoro,"Lusa ""B""",Government Junior Secondary  School Gambar Lere
North East,Bauchi,Bogoro,"Lusa ""B""",Government Junior Secondary  School Kurum Dodo
North East,Bauchi,Bogoro,"Lusa ""B""",Government Junior Secondary  School Tadnum
North East,Bauchi,Bogoro,"Lusa ""B""",New Era Junior Secondary School
North East,Bauchi,Bogoro,"Lusa ""C""",Government Junior Secondary  School Bongah
North East,Bauchi,Bogoro,"Lusa ""C""",Government Junior Secondary  School Gambar Zugum
North East,Bauchi,Bogoro,"Lusa ""C""",Government Junior Secondary  School Lafiyan Sara
North East,Bauchi,Bogoro,"Lusa ""C""",Government Junior Secondary  School Lusa
North East,Bauchi,Bogoro,"Lusa ""C""",Government Junior Secondary  School Unguwan Waje
North East,Bauchi,Bogoro,"Lusa ""C""",Perfect Memorial Secondary School Mwari
North East,Bauchi,Damban,Dagauda,Government Junior Secondary School Dagauda
North East,Bauchi,Damban,Dagauda,Government Junior Secondary School Durwari
North East,Bauchi,Damban,Dagauda,Government Junior Secondary School Haladu Ayuba
North East,Bauchi,Damban,Dagauda,Government Junior Secondary School Yayarin Dagauda
North East,Bauchi,Damban,Dambam,Government Junior  Secondary School Zakar Dambam
North East,Bauchi,Damban,Dambam,Government Junior Secondary Fagam
North East,Bauchi,Damban,Dambam,Government Junior Secondary School Dambam North
North East,Bauchi,Damban,Dambam,Government Junior Secondary School Model Dambam
North East,Bauchi,Damban,Dambam,Government Junior Secondary School Ngaima
North East,Bauchi,Damban,Gargawa,Government Junior Secondary School Dorawa
North East,Bauchi,Damban,Gargawa,Government Junior Secondary School Wahu
North East,Bauchi,Damban,Garuza,Government Junior Secondary School Fagarau
North East,Bauchi,Damban,Garuza,Government Junior Secondary School Garuza
North East,Bauchi,Damban,Gurbana,Government Junior Secondary School Garin Jarmai
North East,Bauchi,Damban,Gurbana,Government Junior Secondary School Gurbana
North East,Bauchi,Damban,Jalam Central,College High Islamic Studies Jalam
North East,Bauchi,Damban,Jalam Central,Government Junior Secondary School Jalam
North East,Bauchi,Damban,Jalam Central,Government Junior Secondary Tudun Wada
North East,Bauchi,Damban,Jalam East,Government Junior Secondary School Janda
North East,Bauchi,Damban,Yame,Government Junior Secondary School Luchambi
North East,Bauchi,Damban,Yame,Government Junior Secondary School Yame
North East,Bauchi,Damban,Yanda,Government Junior Secondary School Minchika
North East,Bauchi,Damban,Yanda,Government Junior Secondary School Yanda Bayo
North East,Bauchi,Damban,Zaura,Government Junior Secondary School Minyo
North East,Bauchi,Darazo,Darazo,Fudiya Day Secondary School Darazo
North East,Bauchi,Darazo,Darazo,Government Day Junior Secondary School Zandam
North East,Bauchi,Darazo,Darazo,Government Day Secondary School Gidado Jamaare
North East,Bauchi,Darazo,Darazo,Government Girls Day Junior Secondary School Darazo
North East,Bauchi,Darazo,Darazo,Government Junior Secondary School M.C.P.S Darazo
North East,Bauchi,Darazo,Darazo,Government Junior Secondary School Nahuta
North East,Bauchi,Darazo,Darazo,Government Junior Secondary Schooltauya
North East,Bauchi,Darazo,Darazo,Government Science Secondary School Darazo
North East,Bauchi,Darazo,Darazo,Green High School
North East,Bauchi,Darazo,Darazo,Hatch Academy Secondary School
North East,Bauchi,Darazo,Darazo,Sunshine Academy Secondary School
North East,Bauchi,Darazo,Gabarin,Government Junior Secondary School Konkiyel
North East,Bauchi,Darazo,Gabarin,Government Junior Secondary School Lago
North East,Bauchi,Darazo,Lanzai,Government Junior Secondary P.S Lanzai
North East,Bauchi,Darazo,Lanzai,Government Junior Secondary School Lanzai Tasha
North East,Bauchi,Darazo,Papa,Government Junior Secondary School Papa
North East,Bauchi,Darazo,Papa,Government Junior Secondary School Wahu
North East,Bauchi,Darazo,Sade,Government Day Junior Secondary School Sade
North East,Bauchi,Darazo,Sade,Government Junior Secondary School Hamzah Ibrahim Sade
North East,Bauchi,Darazo,Yautare,Government Junior Secondary School Jiro
North East,Bauchi,Darazo,Yautare,Government Junior Secondary School Kari
North East,Bauchi,Darazo,Yautare,Government Junior Secondary School Yautare
North East,Bauchi,Dass,Bagel/Bajar,Government Junior Secondary School Bajar
North East,Bauchi,Dass,Bagel/Bajar,Government Junior Secondary School Gwaltukurwa
North East,Bauchi,Dass,Baraza,Government Day Secondary School Baraza
North East,Bauchi,Dass,Baraza,Government Day Secondary School Lukshi
North East,Bauchi,Dass,Baraza,Government Junior Secondary School Badel
North East,Bauchi,Dass,Baraza,Government Junior Secondary School Gyamas
North East,Bauchi,Dass,Bundot,Fomwan Model Junior Secondary School
North East,Bauchi,Dass,Bundot,Government Junior Secondary School Iliya Adamu Bundot
North East,Bauchi,Dass,Bundot,Government Junior Secondary School Shallgwantar
North East,Bauchi,Dass,Bundot,Wakili International High School
North East,Bauchi,Dass,Bununu Central,Government Day Secondary School Gyamas
North East,Bauchi,Dass,Bununu Central,Government Junior Secondary School Bangim
North East,Bauchi,Dass,Bununu Central,Government Junior Secondary School Yalwa
North East,Bauchi,Dass,Bununu South,Government Day Secondary School Married Women Dass
North East,Bauchi,Dass,Dott,Government Junior Secondary School Bakin Kogi
North East,Bauchi,Dass,Dott,Government Junior Secondary School Zagi
North East,Bauchi,Dass,Durr,Government Junior Secondary School Dabardak
North East,Bauchi,Dass,Durr,Government Junior Secondary School Durr
North East,Bauchi,Dass,Polchi,Government Junior Secondary School Darussalam
North East,Bauchi,Dass,Wandi,Government Day Secondary School Wandi
North East,Bauchi,Dass,Wandi,Government Junior Secondary School Dumba
North East,Bauchi,Dass,Zumbul/Lukshi,Government Day Secondary School Bazali
North East,Bauchi,Dass,Zumbul/Lukshi,Government Junior Secondary School Gala
North East,Bauchi,Dass,Zumbul/Lukshi,Government Junior Secondary School Zumbul
North East,Bauchi,Gamawa,Alagarno/Jadori,Government Junior Secondary School Alagarno
North East,Bauchi,Gamawa,Gadiya,Government Junior Secondary School Gadiya
North East,Bauchi,Gamawa,Gamawa,Government Day Junior Secondary School Gamawa
North East,Bauchi,Gamawa,Gamawa,Government Junior Secondary School Gamawa Cps
North East,Bauchi,Gamawa,Gamawa,Government Junior Secondary School Ibrahim Mps Gamawa
North East,Bauchi,Gamawa,Gamawa,Ube Iqamatus Sunnah College Gamawa
North East,Bauchi,Gamawa,Gololo,Government Day Junior Secondary School Gololo
North East,Bauchi,Gamawa,Kafin Romi,Government Junior Secondary School Bakori
North East,Bauchi,Gamawa,Kubdiya,Government Junior Secondary School Gatattara
North East,Bauchi,Gamawa,Kubdiya,Government Junior Secondary School Kubdiya
North East,Bauchi,Gamawa,Raga,Government Junior Secondary School Kafi-Romi
North East,Bauchi,Gamawa,Raga,Government Junior Secondary School Raga
North East,Bauchi,Gamawa,Tarmasuwa,Government Junior Secondary School Kutunas
North East,Bauchi,Gamawa,Tarmasuwa,Government Junior Secondary School Tarmasuwa
North East,Bauchi,Gamawa,Tumbi,Government Junior Secondary School Tumbi
North East,Bauchi,Gamawa,Tumbi,Government Junior Secondary School Wabu
North East,Bauchi,Gamawa,Udubo,Government Junior Secondary School Udubo
North East,Bauchi,Gamawa,Zindi,Government Junior Secondary School Zindiwa
North East,Bauchi,Ganjuwa,Ganjuwa,Goverment Junior Secondary School Rudubida
North East,Bauchi,Ganjuwa,Ganjuwa,Government Junior Secondary School Ganjuwa
North East,Bauchi,Ganjuwa,Ganjuwa,Government Junior Secondary School Nabayi
North East,Bauchi,Ganjuwa,Ganjuwa,Government Junior Secondary School Sabon Kariya
North East,Bauchi,Ganjuwa,Gungura,Government Day Junior Secondary School Jimbin
North East,Bauchi,Ganjuwa,Gungura,Government Junior Secondary School Ringim
North East,Bauchi,Ganjuwa,Kafin Madaki,College Of Arabic And Islamic Studies Kafin Madaki
North East,Bauchi,Ganjuwa,Kafin Madaki,Government Girls College (Special School) Kafin Madaki
North East,Bauchi,Ganjuwa,Kafin Madaki,Government Junior Secondary School Kafin Liman
North East,Bauchi,Ganjuwa,Kafin Madaki,Government Junior Secondary School Kafin Madaki
North East,Bauchi,Ganjuwa,Kafin Madaki,Government Junior Secondary School Kofar Buri
North East,Bauchi,Ganjuwa,Kafin Madaki,Government Junior Secondary School Rudu Yausa
North East,Bauchi,Ganjuwa,Kariya,Government Junior Secondary School
North East,Bauchi,Ganjuwa,Kariya,Government Junior Secondary School Badau Kafin Madaki
North East,Bauchi,Ganjuwa,Kariya,Government Junior Secondary School Kariya
North East,Bauchi,Ganjuwa,Kariya,Government Junior Secondary School Siri Babba
North East,Bauchi,Ganjuwa,Kariya,Sakarumbu Government Junior Secondary School
North East,Bauchi,Ganjuwa,Kubi East,Government Junior Secondary School Badaromo
North East,Bauchi,Ganjuwa,Kubi East,Government Junior Secondary School Siri Zurhu
North East,Bauchi,Ganjuwa,Kubi West,Government Junior Secondary School Bunga
North East,Bauchi,Ganjuwa,Kubi West,Government Junior Secondary School Kubi
North East,Bauchi,Ganjuwa,Kubi West,Government Junior Secondary School Siyi
North East,Bauchi,Ganjuwa,Kubi West,Sangei Memorial Day Secondary School Firo
North East,Bauchi,Ganjuwa,Kubi West,Unguwan Baure Government Junior Secondary School Miya
North East,Bauchi,Ganjuwa,Miya East,Government Junior Secondary School Dabe
North East,Bauchi,Ganjuwa,Miya East,Government Junior Secondary School Soro North
North East,Bauchi,Ganjuwa,Miya West,College For Arabic &Amp; Islamic Studies Soro
North East,Bauchi,Ganjuwa,Miya West,Government Day Senior Secondary School Miya
North East,Bauchi,Ganjuwa,Miya West,Government Junior Secondary School Firo
North East,Bauchi,Ganjuwa,Miya West,Government Junior Secondary School Unguwar Ari Miya
North East,Bauchi,Ganjuwa,Miya West,Government Junior Secondary School Zalanga
North East,Bauchi,Ganjuwa,Nasarawa North,Gala Government Junior Secondary School
North East,Bauchi,Ganjuwa,Nasarawa North,Government Junior Secondary School Gidan Waya
North East,Bauchi,Ganjuwa,Nasarawa North,Government Junior Secondary School Zangoro
North East,Bauchi,Ganjuwa,Nasarawa South,Goverment Junior Secondary School Burku
North East,Bauchi,Ganjuwa,Nasarawa South,Government Day Secondary School Nasarawa
North East,Bauchi,Ganjuwa,Nasarawa South,Government Junior Secondary School Haka Tafi
North East,Bauchi,Ganjuwa,Nasarawa South,Government Junior Secondary School Zara
North East,Bauchi,Ganjuwa,Yali,Goverment Junior Secondary School Dauduwo
North East,Bauchi,Ganjuwa,Yali,Government Junior Secondary School Loyi
North East,Bauchi,Ganjuwa,Yali,Government Junior Secondary School Yali
North East,Bauchi,Giade,Chinkani,Gjunior Secondary School Chinkani
North East,Bauchi,Giade,Doguwa Central,Gjunior Secondary School Doguwa
North East,Bauchi,Giade,Doguwa Central,Govt. Girls Junior Secondary School Doguwa
North East,Bauchi,Giade,Giade,College For Arabic And Islamic St. Giade
North East,Bauchi,Giade,Giade,Gjunior Secondary School Giade Central
North East,Bauchi,Giade,Giade,Gjunior Secondary School Giade Day
North East,Bauchi,Giade,Isawa,Gjunior Secondary School Bombiyo
North East,Bauchi,Giade,Sabon Sara,Gjunior Secondary School Gulbun
North East,Bauchi,Giade,"Uzum ""A""",Gjunior Secondary School Jarmawo
North East,Bauchi,Giade,"Uzum ""B""",Gjunior Secondary School Jugudu
North East,Bauchi,Giade,"Uzum ""B""",Government Junior Secondary School Uzum
North East,Bauchi,Giade,Zabi,Gjunior Secondary School Kurba
North East,Bauchi,Giade,Zabi,Gjunior Secondary School Tsamiyar Zane
North East,Bauchi,Giade,Zirrami,Gjunior Secondary School Tagwaye
North East,Bauchi,Itas/Gadau,Abdallawa/Magarya,"Government Junior Secondary School, Atafowa"
North East,Bauchi,Itas/Gadau,Abdallawa/Magarya,"Government Junior Secondary School, Magarya"
North East,Bauchi,Itas/Gadau,Bambal,"Govenment Junoor Secondary School, Bambal"
North East,Bauchi,Itas/Gadau,Bambal,"Government Junior Secondary School, Atawari"
North East,Bauchi,Itas/Gadau,Bilkicheri,"Government Junior Secondary School, Dunari"
North East,Bauchi,Itas/Gadau,Buzawa,"Government Junior Secondary School, Buzawa"
North East,Bauchi,Itas/Gadau,Buzawa,"Government Junior Secondary School, Gamsha"
North East,Bauchi,Itas/Gadau,Gadau,"Government Girls Junior Secondary School, Gadau"
North East,Bauchi,Itas/Gadau,Gadau,"Government Junior Secondary School, Gadau"
North East,Bauchi,Itas/Gadau,Gadau,"Government Junior Secondary School, Gidan Ganji"
North East,Bauchi,Itas/Gadau,Gwarai,"Government Junior Secondary School, Gyara"
North East,Bauchi,Itas/Gadau,Itas,"Government Junior Secondary School, Itas"
North East,Bauchi,Itas/Gadau,Itas,"Hasanul Basary Academy Science Secondary School, Itas"
North East,Bauchi,Itas/Gadau,Itas,Tafida Muhammadu Government Junior Secondary Itas
North East,Bauchi,Itas/Gadau,Kashuri,"Government Junior Secondary School, Kashuri"
North East,Bauchi,Itas/Gadau,Kashuri,Government Junoior Secondary School Surfe
North East,Bauchi,Itas/Gadau,Mashema,"Governmant Junior Secondary School, Arama"
North East,Bauchi,Itas/Gadau,Mashema,"Government Day Junior Secondary School, Mashema"
North East,Bauchi,Itas/Gadau,Mashema,Melandige Junior Secondary School
North East,Bauchi,Itas/Gadau,Zubuki,Government Junior Secondary School Majiya
North East,Bauchi,Jama'Are,"Dogon Jeji ""A""",Government Day Secondary School Dogon-Jeji
North East,Bauchi,Jama'Are,"Dogon Jeji ""A""",Jibwis Science Schools
North East,Bauchi,Jama'Are,"Dogon Jeji ""A""",Lariye Junior Secondary School
North East,Bauchi,Jama'Are,"Dogon Jeji ""B""",Government Day Secondary School Hassan Muhammad
North East,Bauchi,Jama'Are,"Dogon Jeji ""B""",Sautul Wahada College Of Education Jamaare
North East,Bauchi,Jama'Are,"Dogon Jeji ""C""",Government Day Technical College Jamaare
North East,Bauchi,Jama'Are,Galdimari,Government Day Secondary School Galdimari
North East,Bauchi,Jama'Are,Galdimari,Government Junior Secondary School Ahmad Muhd Wabi
North East,Bauchi,Jama'Are,Hanafari,Government Junior Secondary School Garin Babani
North East,Bauchi,Jama'Are,Hanafari,Government Junior Secondary School Hanafari
North East,Bauchi,Jama'Are,Hanafari,Science Jibwis Secondary School
North East,Bauchi,Jama'Are,Jama'Are 'A',Government Junior Secondary School Kata-Kata
North East,Bauchi,Jama'Are,Jama'Are 'B',Government Junior Secondary School Mc Abubakar
North East,Bauchi,Jama'Are,Jama'Are 'B',Yola Junior Secondary School
North East,Bauchi,Jama'Are,Jama'Are 'C',Aliyu Mai Sango Junior Secondary School
North East,Bauchi,Jama'Are,Jama'Are 'C',Government Junior Secondary School Sabon Kafi
North East,Bauchi,Jama'Are,Jama'Are 'D',Gilar Junior Secondary School
North East,Bauchi,Jama'Are,Jama'Are 'D',Government Junior Secondary School Yangamai
North East,Bauchi,Jama'Are,Jurara,Gongo Junior Secondary School
North East,Bauchi,Jama'Are,Jurara,Government Junior Secondary School Jurara
North East,Bauchi,Jama'Are,Jurara,Government Senior Secondary School Married Women
North East,Bauchi,Katagum,Bulkachuwa/Dagaro,Dagaro Sabuwa Upper Basic Secondary School
North East,Bauchi,Katagum,Bulkachuwa/Dagaro,Universal Basic Junior Secondary School Kujuru
North East,Bauchi,Katagum,Bulkachuwa/Dagaro,Upper Basic Junior Secondary School Bulkachuwa
North East,Bauchi,Katagum,Buskuri,Universal Basic Junior Secondary School Buskuri
North East,Bauchi,Katagum,Buskuri,Universal Basic Junior Secondary School Nasarawa
North East,Bauchi,Katagum,Chinade,Universal Basic Junior Secondary School Tatari Ali
North East,Bauchi,Katagum,Chinade,Upper Basic Junior Secondary School Chinade
North East,Bauchi,Katagum,Chinade,Upper Basic Junior Secondary School Chinade South
North East,Bauchi,Katagum,Gambaki/Bidir,Government College (Special School) Azare
North East,Bauchi,Katagum,Gambaki/Bidir,Universal Basic Junior Secondary School Gambaki
North East,Bauchi,Katagum,Gambaki/Bidir,Universal Basic Junior Secondary School Tsakuwa
North East,Bauchi,Katagum,Gambaki/Bidir,Upper Basic Junior Secondary School Bidir
North East,Bauchi,Katagum,Madachi/Gangai,Government Junior Secondary School Adp Azare
North East,Bauchi,Katagum,Madachi/Gangai,Government Junior Secondary School Gangai (G.J.S.S)
North East,Bauchi,Katagum,Madachi/Gangai,"Sheikh Ibrahim Bawa Mai Shinkafa Nursery, Primary, Secondary And Tahfizul Quran."
North East,Bauchi,Katagum,Madachi/Gangai,Universal Basic Junior Secondary School Gwasamai
North East,Bauchi,Katagum,Madachi/Gangai,Upper Basic Junior Secondary School Ahmad Turaki Upper
North East,Bauchi,Katagum,Madangala,Government Junior Secondary School Aminu Saleh
North East,Bauchi,Katagum,Madangala,Shaibatul Hamdi College For Arabic And Islamic Studies
North East,Bauchi,Katagum,Madangala,Universal Basic Junior Secondary School Madangala
North East,Bauchi,Katagum,Madangala,Upper Basic Junior Secondary School Duhuwar Kura
North East,Bauchi,Katagum,Madara,Abdullahi Memorial Secondary School Azare
North East,Bauchi,Katagum,Madara,Government Junior Secondary School Gandun Wambai
North East,Bauchi,Katagum,Madara,"Sheikh Ibrahim Bawa Mai Shinkafa Nursery, Primary, Secondary A Nd Tahfizul Quran."
North East,Bauchi,Katagum,Madara,Universal Basic Junior Secondary School Madara
North East,Bauchi,Katagum,Madara,Universal Basic Junior Secondary School Matsango
North East,Bauchi,Katagum,Madara,Upper Basic Junior Secondary School Madachi
North East,Bauchi,Katagum,Nasarawa Bakin Kasuwa,Abu-Kilishi Al-Kusuri College Of Arabic And Islamic Studies
North East,Bauchi,Katagum,Nasarawa Bakin Kasuwa,Government Married Women Secondary School
North East,Bauchi,Katagum,Nasarawa Bakin Kasuwa,Universal Basic Junior Secondary School Baba Kafinta
North East,Bauchi,Katagum,Nasarawa Bakin Kasuwa,Upper Basic Junior Secondary School Yagana Lawan
North East,Bauchi,Katagum,Ragwam/Magonshi,Governmet Girls College Junior Secondary School Azare
North East,Bauchi,Katagum,Ragwam/Magonshi,Universal Basic Junior Secondary School Bakoshi
North East,Bauchi,Katagum,Ragwam/Magonshi,Upper Basic Secondary School Chara Chara
North East,Bauchi,Katagum,Tsakuwa Kofar Gabas/ Kofar Kuka,Universal Basic Junior Secondary School Fatara
North East,Bauchi,Katagum,Yayu,Buba Yayuma Islamic Junior Secondary School Tatari Ali Quaters
North East,Bauchi,Katagum,Yayu,Ecwa Nursery Primary Annd Junior Secondary School
North East,Bauchi,Katagum,Yayu,Federal Government College Staff Nursery And Primary School
North East,Bauchi,Katagum,Yayu,Government Junior Secondary School Yayu
North East,Bauchi,Katagum,Yayu,Immaculate Heart Nursery Primary And Secondary School Azare.
North East,Bauchi,Katagum,Yayu,Universal Basic Junior Secondary School Katsalle
North East,Bauchi,Kirfi,Badara,Government Junior Secondary School Badara
North East,Bauchi,Kirfi,Bara,"Govt Junior Secondary   School,  Barakirfi"
North East,Bauchi,Kirfi,Dewu Central,"Community Day  Secondary   School, Dewu"
North East,Bauchi,Kirfi,Dewu East,"Government Junior Secondary    School,  Balan Kanawa"
North East,Bauchi,Kirfi,Kirfi,"Government Day Junior Secondary   School,  Kirfikirfi"
North East,Bauchi,Kirfi,Shango,Government Junior Secondary School Shango
North East,Bauchi,Kirfi,Shango,Government Secondary School Riban Garmu
North East,Bauchi,Kirfi,Wanka,"Govt Junior Secondary   School,  Wankan"
North East,Bauchi,Misau,Hardawa,Hardfund Community Junior Secondary School
North East,Bauchi,Misau,Jarkasa,Hassan Bauchi Memorial Junior Secondary School
North East,Bauchi,Misau,Sarma/Akuyam,Junior Secondary School Clis Misau
North East,Bauchi,Misau,Sirko,Masar Academy Junior Secondary School
