session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,24,18,7,7,1,0,6,11,0,2.1,1 year
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,10,8,3,3,0,0,2,5,0,2.1,2 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,5,4,2,2,0,0,1,2,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,1,0,0,0,1,0,1,2.1,5+ years
2022/2023,Male,Disabled,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,30,22,9,8,1,0,8,13,1,2.1,1 year
2022/2023,Male,Disabled,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,13,9,4,4,0,0,4,5,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,1,1,0,0,1,0,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,6,4,2,2,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,11,8,3,3,0,0,3,5,0,2.1,1 year
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,5,3,1,1,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,2,1,1,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Male,Disabled,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,6,4,2,2,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,6,5,2,2,0,0,1,3,0,2.1,1 year
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,5,4,2,1,0,0,1,2,1,2.1,1 year
2022/2023,Male,Disabled,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,4,3,1,1,0,0,1,2,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,1,1,0,0,1,0,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,1,1,0,0,1,0,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,0,0,0,0,1,1,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,1,0,0,0,0,0,1,0,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,ALL,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,460,333,139,128,11,0,127,194,11,2.1,1 year
2022/2023,Male,ALL,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,198,143,60,55,5,0,55,83,5,2.1,2 years
2022/2023,Male,ALL,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,103,75,31,29,2,0,28,44,2,2.1,3-5 years
2022/2023,Male,ALL,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,32,23,10,9,1,0,9,13,1,2.1,5+ years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,209,151,63,58,5,0,58,88,5,2.1,1 year
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,90,65,27,25,2,0,25,38,2,2.1,2 years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,47,34,14,13,1,0,13,20,1,2.1,3-5 years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,14,10,4,4,0,0,4,6,0,2.1,5+ years
2022/2023,Male,ALL,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,167,121,51,47,4,0,46,70,4,2.1,1 year
2022/2023,Male,ALL,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,72,52,22,20,2,0,20,30,2,2.1,2 years
2022/2023,Male,ALL,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,37,27,11,10,1,0,10,16,1,2.1,3-5 years
2022/2023,Male,ALL,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,12,8,3,3,0,0,4,5,0,2.1,5+ years
2022/2023,Male,ALL,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,215,156,65,60,5,0,59,91,5,2.1,1 year
2022/2023,Male,ALL,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,93,67,28,26,2,0,26,39,2,2.1,2 years
2022/2023,Male,ALL,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,48,35,15,13,1,0,13,20,2,2.1,3-5 years
2022/2023,Male,ALL,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,15,11,4,4,0,0,4,7,0,2.1,5+ years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,98,71,30,27,2,0,27,41,3,2.1,1 year
2022/2023,Male,ALL,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,42,31,13,12,1,0,11,18,1,2.1,2 years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,22,16,7,6,1,0,6,9,1,2.1,3-5 years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Male,ALL,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,78,57,24,22,2,0,21,33,2,2.1,1 year
2022/2023,Male,ALL,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,34,24,10,9,1,0,10,14,1,2.1,2 years
2022/2023,Male,ALL,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,18,13,5,5,0,0,5,8,0,2.1,3-5 years
2022/2023,Male,ALL,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,5,4,2,2,0,0,1,2,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,67,48,20,19,2,0,19,28,1,2.1,1 year
2022/2023,Male,ALL,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,29,21,9,8,1,0,8,12,1,2.1,2 years
2022/2023,Male,ALL,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,15,11,5,4,0,0,4,6,1,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,5,3,1,1,0,0,2,2,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,30,22,9,8,1,0,8,13,1,2.1,1 year
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,13,9,4,4,0,0,4,5,0,2.1,2 years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,24,18,7,7,1,0,6,11,0,2.1,1 year
2022/2023,Male,ALL,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,10,8,3,3,0,0,2,5,0,2.1,2 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,5,4,2,2,0,0,1,2,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,2,1,1,0,0,0,1,0,1,2.1,5+ years
2022/2023,Male,Disabled,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,30,22,9,8,1,0,8,13,1,2.1,1 year
2022/2023,Male,Disabled,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,13,9,4,4,0,0,4,5,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,University,lga,Idah,North Central,Kogi,Idah,,,0,2,1,1,1,0,0,1,0,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,6,4,2,2,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,11,8,3,3,0,0,3,5,0,2.1,1 year
2022/2023,Male,Disabled,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,5,3,1,1,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,2,2,1,1,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Male,Disabled,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,6,4,2,2,0,0,2,2,0,2.1,2 years
2022/2023,Male,Disabled,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,University,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,6,5,2,2,0,0,1,3,0,2.1,1 year
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,5,4,2,1,0,0,1,2,1,2.1,1 year
2022/2023,Male,Disabled,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,4,3,1,1,0,0,1,2,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,2,1,1,1,0,0,1,0,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,University,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,2,1,1,1,0,0,1,0,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,2,1,0,0,0,0,1,1,0,2.1,1 year
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,1,0,0,0,0,0,1,0,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Idah,North Central,Kogi,Idah,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,ALL,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,539,390,163,150,13,0,149,227,13,2.1,1 year
2022/2023,Male,ALL,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,232,168,70,65,6,0,64,98,5,2.1,2 years
2022/2023,Male,ALL,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,121,87,37,34,3,0,34,50,3,2.1,3-5 years
2022/2023,Male,ALL,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,37,27,11,10,1,0,10,16,1,2.1,5+ years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,245,177,74,68,6,0,68,103,6,2.1,1 year
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,106,76,32,29,2,0,30,44,3,2.1,2 years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,55,40,17,15,1,0,15,23,2,2.1,3-5 years
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,17,12,5,5,0,0,5,7,0,2.1,5+ years
2022/2023,Male,ALL,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,196,142,59,55,5,0,54,83,4,2.1,1 year
2022/2023,Male,ALL,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,84,61,26,23,2,0,23,35,3,2.1,2 years
2022/2023,Male,ALL,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,44,32,13,12,1,0,12,19,1,2.1,3-5 years
2022/2023,Male,ALL,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,14,10,4,4,0,0,4,6,0,2.1,5+ years
2022/2023,Male,ALL,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,252,182,76,70,6,0,70,106,6,2.1,1 year
2022/2023,Male,ALL,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,109,79,33,30,3,0,30,46,3,2.1,2 years
2022/2023,Male,ALL,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,56,41,17,16,1,0,15,24,1,2.1,3-5 years
2022/2023,Male,ALL,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,17,13,5,5,0,0,4,8,0,2.1,5+ years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,115,83,35,32,3,0,32,48,3,2.1,1 year
2022/2023,Male,ALL,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,49,36,15,14,1,0,13,21,1,2.1,2 years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,26,19,8,7,1,0,7,11,1,2.1,3-5 years
2022/2023,Male,ALL,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,8,6,2,2,0,0,2,4,0,2.1,5+ years
2022/2023,Male,ALL,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,92,66,28,25,2,0,26,38,3,2.1,1 year
2022/2023,Male,ALL,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,39,29,12,11,1,0,10,17,1,2.1,2 years
2022/2023,Male,ALL,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,21,15,6,6,1,0,6,9,0,2.1,3-5 years
2022/2023,Male,ALL,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,6,5,2,2,0,0,1,3,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,78,57,24,22,2,0,21,33,2,2.1,1 year
2022/2023,Male,ALL,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,34,24,10,9,1,0,10,14,1,2.1,2 years
2022/2023,Male,ALL,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,18,13,5,5,0,0,5,8,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,5,4,2,2,0,0,1,2,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,36,26,11,10,1,0,10,15,1,2.1,1 year
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,15,11,5,4,0,0,4,6,1,2.1,2 years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,8,6,2,2,0,0,2,4,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,28,21,9,8,1,0,7,12,1,2.1,1 year
2022/2023,Male,ALL,NABTEB,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,12,9,4,3,0,0,3,5,1,2.1,2 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,6,5,2,2,0,0,1,3,0,2.1,3-5 years
2022/2023,Male,ALL,NABTEB,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,2,1,1,1,0,0,1,0,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,35,25,11,10,1,0,10,14,1,2.1,1 year
2022/2023,Male,Disabled,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,15,11,5,4,0,0,4,6,1,2.1,2 years
2022/2023,Male,Disabled,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,8,6,2,2,0,0,2,4,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,16,12,5,4,0,0,4,7,1,2.1,1 year
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,13,9,4,4,0,0,4,5,0,2.1,1 year
2022/2023,Male,Disabled,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,5,4,2,2,0,0,1,2,0,2.1,2 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Male,Disabled,WAEC,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,16,12,5,5,0,0,4,7,0,2.1,1 year
2022/2023,Male,Disabled,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Male,Disabled,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,2,1,1,0,0,0,1,0,1,2.1,3-5 years
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,0,0,0,0,0,1,0,0,2.1,5+ years
2022/2023,Male,Disabled,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,6,4,2,2,0,0,2,2,0,2.1,1 year
2022/2023,Male,Disabled,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Male,Disabled,NECO,College of Education,lga,Ankpa,North Central,Kogi,Ankpa,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Male,Disabled,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,5,4,2,1,0,0,1,2,1,2.1,1 year
2022/2023,Male,Disabled,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Male,Disabled,NABTEB,University,lga,Ankpa,North Central,Kogi,Ankpa,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
