"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated","median_time_to_matriculation_years"
"2019/2020","Male","disabled","WAEC","University","state","Kano","North West","Kano","","","","784","773","442","96","105","0","11","331","347","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Katsina","North West","Katsina","","","","492","488","250","71","84","0","4","238","179","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Kebbi","North West","Kebbi","","","","601","597","326","91","104","0","4","271","235","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Sokoto","North West","Sokoto","","","","738","729","452","125","136","0","9","277","327","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Zamfara","North West","Zamfara","","","","417","415","274","69","75","0","2","141","205","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Abia","South East","Abia","","","","500","494","330","95","97","0","6","164","235","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Anambra","South East","Anambra","","","","550","546","346","89","104","0","4","200","257","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Ebonyi","South East","Ebonyi","","","","682","680","387","115","120","0","2","293","271","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Enugu","South East","Enugu","","","","448","443","230","71","72","0","5","213","160","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Imo","South East","Imo","","","","527","522","282","91","92","0","5","240","191","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Akwa Ibom","South South","Akwa Ibom","","","","568","563","344","84","90","0","5","219","260","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Bayelsa","South South","Bayelsa","","","","189","189","118","37","42","0","0","71","81","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Cross River","South South","Cross River","","","","406","405","267","76","83","0","1","138","192","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Delta","South South","Delta","","","","429","428","269","80","80","1","1","159","189","1","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Edo","South South","Edo","","","","571","568","332","104","107","0","3","236","228","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Rivers","South South","Rivers","","","","579","571","305","85","90","2","8","266","220","2","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Ekiti","South West","Ekiti","","","","456","453","250","72","75","0","3","203","179","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Lagos","South West","Lagos","","","","805","796","474","133","150","0","9","322","341","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Ogun","South West","Ogun","","","","377","375","241","73","74","0","2","134","169","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Ondo","South West","Ondo","","","","464","458","311","79","89","0","6","147","232","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Osun","South West","Osun","","","","476","474","298","74","84","0","2","176","224","0","1.944934987519094"
"2019/2020","Male","disabled","WAEC","University","state","Oyo","South West","Oyo","","","","643","635","355","97","100","0","8","280","258","0","1.944934987519094"
"2020/2021","Female","all","NABTEB","College of Education","state","Benue","North Central","Benue","","","","1911","1883","1306","505","423","82","28","577","801","82","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","2327","2295","1429","540","497","57","32","866","889","57","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Kogi","North Central","Kogi","","","","1937","1910","1117","396","358","42","27","793","721","42","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Kwara","North Central","Kwara","","","","1539","1516","896","305","270","37","23","620","591","37","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Nasarawa","North Central","Nasarawa","","","","1666","1643","1091","370","332","39","23","552","721","39","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Niger","North Central","Niger","","","","2304","2270","1650","644","570","78","34","620","1005","78","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Plateau","North Central","Plateau","","","","1682","1655","1225","430","365","66","27","430","794","66","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Adamawa","North East","Adamawa","","","","1801","1772","1214","455","413","55","29","558","759","52","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Bauchi","North East","Bauchi","","","","2335","2301","1425","555","507","59","34","876","869","59","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Borno","North East","Borno","","","","1528","1505","858","326","299","34","23","647","532","34","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Gombe","North East","Gombe","","","","2075","2045","1220","439","395","52","30","825","781","52","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Taraba","North East","Taraba","","","","2179","2146","1400","542","478","71","33","746","858","71","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Yobe","North East","Yobe","","","","1574","1550","1128","444","384","62","24","422","684","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Jigawa","North West","Jigawa","","","","2171","2139","1607","616","545","81","32","532","991","81","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Kaduna","North West","Kaduna","","","","2707","2668","1853","718","631","96","39","815","1135","96","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Kano","North West","Kano","","","","2650","2612","1613","591","543","62","38","999","1021","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Katsina","North West","Katsina","","","","2314","2280","1299","474","443","48","34","981","825","48","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Kebbi","North West","Kebbi","","","","1326","1305","777","301","272","29","21","528","476","29","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Sokoto","North West","Sokoto","","","","1948","1918","1272","520","484","48","30","646","752","48","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Zamfara","North West","Zamfara","","","","2239","2204","1581","551","479","77","35","623","1030","77","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Abia","South East","Abia","","","","2353","2318","1663","549","459","90","35","655","1114","90","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Anambra","South East","Anambra","","","","2173","2139","1472","465","413","57","34","667","1007","57","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Ebonyi","South East","Ebonyi","","","","899","886","547","179","155","26","13","339","368","26","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Enugu","South East","Enugu","","","","1774","1746","994","332","290","43","28","752","662","43","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Imo","South East","Imo","","","","1930","1902","1138","405","343","62","28","764","733","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Akwa Ibom","South South","Akwa Ibom","","","","1672","1646","1100","403","362","46","26","546","697","46","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Bayelsa","South South","Bayelsa","","","","2131","2101","1512","550","484","70","30","589","962","70","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Cross River","South South","Cross River","","","","1561","1538","1122","370","332","41","23","416","752","41","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Delta","South South","Delta","","","","1701","1678","1155","395","351","50","23","523","760","50","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Edo","South South","Edo","","","","2121","2089","1287","469","395","73","32","802","818","73","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Rivers","South South","Rivers","","","","1865","1838","1068","338","300","42","27","770","730","42","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Ekiti","South West","Ekiti","","","","2224","2191","1326","510","455","57","33","865","816","57","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Lagos","South West","Lagos","","","","1753","1727","1149","441","398","49","26","578","708","49","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Ogun","South West","Ogun","","","","2573","2538","1846","661","580","82","35","692","1184","82","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Ondo","South West","Ondo","","","","1767","1740","1273","415","359","58","27","467","858","58","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Osun","South West","Osun","","","","1390","1368","921","325","285","45","22","447","596","45","1.744838026036936"
"2020/2021","Female","all","NABTEB","College of Education","state","Oyo","South West","Oyo","","","","2675","2636","1634","597","537","66","39","1002","1037","66","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Benue","North Central","Benue","","","","1995","1964","1368","518","449","69","31","596","850","69","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","1959","1930","1191","443","396","55","29","739","747","55","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Kogi","North Central","Kogi","","","","1779","1752","1021","366","316","51","27","731","655","51","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Kwara","North Central","Kwara","","","","2141","2110","1264","457","395","63","31","846","806","63","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Nasarawa","North Central","Nasarawa","","","","1447","1426","956","328","297","33","21","470","628","33","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Niger","North Central","Niger","","","","1798","1772","1268","505","450","58","26","504","763","58","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Plateau","North Central","Plateau","","","","1647","1620","1186","421","366","55","27","434","766","55","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Adamawa","North East","Adamawa","","","","1687","1661","1167","447","406","55","26","494","720","53","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Bauchi","North East","Bauchi","","","","1083","1067","665","266","245","27","16","402","399","27","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Borno","North East","Borno","","","","1705","1680","986","421","367","60","25","694","565","60","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Gombe","North East","Gombe","","","","1801","1774","1053","359","323","42","27","721","694","42","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Taraba","North East","Taraba","","","","2059","2028","1341","499","455","54","31","687","842","54","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Yobe","North East","Yobe","","","","1848","1819","1302","536","461","76","29","517","766","76","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Jigawa","North West","Jigawa","","","","1848","1821","1307","443","420","37","27","514","865","37","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Kaduna","North West","Kaduna","","","","1122","1105","753","292","255","41","17","352","461","41","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Kano","North West","Kano","","","","2168","2135","1313","447","375","79","33","822","866","79","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Katsina","North West","Katsina","","","","2036","2007","1167","428","379","56","29","840","739","56","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Kebbi","North West","Kebbi","","","","1585","1562","949","347","298","53","23","613","602","53","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Sokoto","North West","Sokoto","","","","1383","1362","922","365","318","51","21","440","557","51","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Zamfara","North West","Zamfara","","","","1713","1686","1243","483","430","59","27","443","760","59","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Abia","South East","Abia","","","","1650","1626","1204","412","350","62","24","422","793","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Anambra","South East","Anambra","","","","1530","1508","1050","340","295","47","22","458","710","47","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Ebonyi","South East","Ebonyi","","","","1400","1379","867","292","263","33","21","512","575","33","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Enugu","South East","Enugu","","","","2474","2438","1413","463","414","51","36","1025","950","51","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Imo","South East","Imo","","","","2198","2166","1289","494","437","58","32","877","794","58","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Akwa Ibom","South South","Akwa Ibom","","","","1533","1511","993","357","322","42","22","518","636","42","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Bayelsa","South South","Bayelsa","","","","1571","1548","1110","408","357","54","23","438","702","54","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Cross River","South South","Cross River","","","","1903","1873","1371","436","393","48","30","502","935","48","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Delta","South South","Delta","","","","2361","2322","1613","548","482","71","39","709","1065","71","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Edo","South South","Edo","","","","1276","1257","776","281","251","30","19","481","495","30","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Rivers","South South","Rivers","","","","2196","2163","1264","385","323","64","33","899","879","64","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Ekiti","South West","Ekiti","","","","1014","1000","592","213","189","27","14","408","379","27","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Lagos","South West","Lagos","","","","3590","3538","2381","855","741","117","52","1157","1526","117","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Ogun","South West","Ogun","","","","1829","1801","1303","481","414","67","28","498","822","67","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Ondo","South West","Ondo","","","","2068","2038","1516","526","451","76","30","522","989","76","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Osun","South West","Osun","","","","1887","1860","1273","458","409","57","27","587","815","57","1.744838026036936"
"2020/2021","Female","all","NABTEB","Polytechnic","state","Oyo","South West","Oyo","","","","1216","1198","732","262","242","25","18","466","469","25","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Benue","North Central","Benue","","","","1761","1736","1200","474","400","74","25","536","726","74","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","1501","1480","921","348","326","31","21","559","573","31","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Kogi","North Central","Kogi","","","","2377","2342","1347","465","395","70","35","995","882","70","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Kwara","North Central","Kwara","","","","1825","1797","1087","385","348","40","28","710","702","40","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Nasarawa","North Central","Nasarawa","","","","1514","1491","958","328","281","49","23","533","630","49","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Niger","North Central","Niger","","","","1830","1804","1276","482","432","51","26","528","793","51","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Plateau","North Central","Plateau","","","","2167","2133","1561","551","461","90","34","572","1011","90","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Adamawa","North East","Adamawa","","","","2166","2136","1464","566","525","63","30","672","899","61","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Bauchi","North East","Bauchi","","","","1810","1783","1108","409","342","72","27","675","700","72","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Borno","North East","Borno","","","","1762","1734","1004","402","375","37","28","730","602","37","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Gombe","North East","Gombe","","","","1159","1142","682","221","195","30","17","460","461","30","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Taraba","North East","Taraba","","","","1088","1070","701","242","223","24","18","369","459","24","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Yobe","North East","Yobe","","","","1435","1413","1030","395","372","29","22","383","635","29","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Jigawa","North West","Jigawa","","","","1881","1852","1343","452","413","50","29","509","891","50","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Kaduna","North West","Kaduna","","","","3115","3068","2117","825","739","100","47","951","1292","100","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Kano","North West","Kano","","","","2647","2609","1646","610","517","100","38","963","1036","100","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Katsina","North West","Katsina","","","","1911","1881","1080","375","345","44","30","801","706","44","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Kebbi","North West","Kebbi","","","","2180","2146","1277","461","386","75","34","869","816","75","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Sokoto","North West","Sokoto","","","","2516","2478","1615","576","532","58","38","863","1039","58","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Zamfara","North West","Zamfara","","","","1443","1423","1026","384","364","28","20","397","642","28","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Abia","South East","Abia","","","","1904","1876","1375","453","386","67","28","501","922","67","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Anambra","South East","Anambra","","","","1938","1910","1310","436","383","56","28","600","874","56","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Ebonyi","South East","Ebonyi","","","","2566","2528","1555","490","436","62","38","973","1065","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Enugu","South East","Enugu","","","","1406","1383","801","275","239","36","23","582","526","36","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Imo","South East","Imo","","","","1916","1889","1147","412","359","53","27","742","735","53","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Akwa Ibom","South South","Akwa Ibom","","","","1957","1928","1282","478","420","62","29","646","804","62","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Bayelsa","South South","Bayelsa","","","","741","730","531","212","190","24","11","199","319","24","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Cross River","South South","Cross River","","","","1429","1408","1026","317","289","32","21","382","709","32","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Delta","South South","Delta","","","","1685","1658","1147","382","338","50","27","511","765","50","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Edo","South South","Edo","","","","2126","2095","1293","471","393","78","31","802","823","78","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Rivers","South South","Rivers","","","","2068","2038","1168","370","337","38","30","870","798","38","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Ekiti","South West","Ekiti","","","","1695","1669","993","342","316","34","26","676","651","34","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Lagos","South West","Lagos","","","","3133","3087","2039","736","648","93","46","1048","1303","93","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Ogun","South West","Ogun","","","","1405","1384","983","331","293","38","21","401","653","38","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Ondo","South West","Ondo","","","","1802","1777","1300","427","383","47","25","477","873","47","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Osun","South West","Osun","","","","1799","1772","1228","471","405","69","27","544","757","69","1.744838026036936"
"2020/2021","Female","all","NABTEB","University","state","Oyo","South West","Oyo","","","","2244","2211","1353","467","424","51","33","858","886","51","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Benue","North Central","Benue","","","","3626","3572","2476","900","793","107","54","1096","1576","107","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","4498","4432","2714","940","816","124","66","1718","1774","124","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Kogi","North Central","Kogi","","","","3651","3597","2099","748","677","71","54","1498","1351","71","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Kwara","North Central","Kwara","","","","2780","2738","1617","593","529","64","42","1121","1025","64","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Nasarawa","North Central","Nasarawa","","","","3092","3047","2026","765","683","82","45","1021","1261","82","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Niger","North Central","Niger","","","","4352","4286","3083","1019","890","129","66","1203","2064","129","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Plateau","North Central","Plateau","","","","3141","3094","2275","801","721","81","47","819","1473","81","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Adamawa","North East","Adamawa","","","","3474","3424","2324","864","782","82","50","1100","1460","82","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Bauchi","North East","Bauchi","","","","4325","4261","2631","944","852","94","64","1630","1687","94","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Borno","North East","Borno","","","","2811","2770","1574","523","477","48","41","1196","1050","48","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Gombe","North East","Gombe","","","","3872","3817","2295","901","816","85","55","1522","1394","85","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Taraba","North East","Taraba","","","","4188","4127","2722","1045","925","121","61","1405","1677","121","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Yobe","North East","Yobe","","","","2919","2876","2056","703","618","86","43","820","1353","86","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Jigawa","North West","Jigawa","","","","4128","4066","3007","1116","998","118","62","1059","1891","118","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Kaduna","North West","Kaduna","","","","4980","4907","3368","1163","1017","146","73","1539","2206","146","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Kano","North West","Kano","","","","4886","4815","2977","1024","882","143","71","1838","1953","143","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Katsina","North West","Katsina","","","","4227","4165","2399","865","751","115","62","1766","1535","115","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Kebbi","North West","Kebbi","","","","2420","2384","1443","567","485","82","36","941","876","82","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Sokoto","North West","Sokoto","","","","3672","3617","2412","926","829","97","55","1205","1486","97","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Zamfara","North West","Zamfara","","","","4158","4097","2959","1056","942","114","61","1138","1903","114","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Abia","South East","Abia","","","","4358","4295","3122","1219","1066","153","63","1173","1903","153","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Anambra","South East","Anambra","","","","4068","4008","2737","1033","930","104","60","1271","1704","104","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Ebonyi","South East","Ebonyi","","","","1677","1652","994","371","334","37","25","658","623","37","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Enugu","South East","Enugu","","","","3253","3206","1831","681","608","73","47","1375","1150","73","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Imo","South East","Imo","","","","3792","3735","2243","813","737","76","57","1492","1430","76","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Akwa Ibom","South South","Akwa Ibom","","","","3019","2974","1969","704","634","70","45","1005","1265","70","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Bayelsa","South South","Bayelsa","","","","3985","3925","2806","923","835","89","60","1119","1883","89","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Cross River","South South","Cross River","","","","2972","2926","2165","860","764","96","46","761","1305","96","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Delta","South South","Delta","","","","3178","3131","2128","757","683","74","47","1003","1371","74","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Edo","South South","Edo","","","","4007","3950","2433","839","737","102","57","1517","1594","102","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Rivers","South South","Rivers","","","","3524","3469","2005","782","705","77","55","1464","1223","77","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Ekiti","South West","Ekiti","","","","4115","4054","2430","953","835","117","61","1624","1478","117","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Lagos","South West","Lagos","","","","3189","3143","2100","752","648","104","46","1043","1348","104","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Ogun","South West","Ogun","","","","4776","4705","3409","1144","1014","131","71","1296","2265","131","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Ondo","South West","Ondo","","","","3170","3123","2263","814","723","91","47","860","1450","91","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Osun","South West","Osun","","","","2571","2535","1727","631","558","73","36","808","1096","73","1.744838026036936"
"2020/2021","Female","all","NECO","College of Education","state","Oyo","South West","Oyo","","","","5069","4995","3120","1211","1040","171","74","1875","1909","171","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Benue","North Central","Benue","","","","3734","3679","2553","934","831","103","55","1126","1619","103","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","3747","3690","2328","788","672","116","57","1362","1540","116","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Kogi","North Central","Kogi","","","","3399","3348","1909","662","589","73","51","1439","1247","73","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Kwara","North Central","Kwara","","","","4084","4024","2378","875","767","108","60","1646","1503","108","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Nasarawa","North Central","Nasarawa","","","","2709","2670","1738","682","620","62","39","932","1056","62","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Niger","North Central","Niger","","","","3351","3302","2355","819","709","110","49","947","1536","110","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Plateau","North Central","Plateau","","","","3020","2976","2154","743","671","72","44","822","1411","72","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Adamawa","North East","Adamawa","","","","3128","3082","2148","834","743","91","46","934","1314","91","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Bauchi","North East","Bauchi","","","","2048","2020","1257","467","419","49","28","763","789","49","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Borno","North East","Borno","","","","3239","3192","1871","664","602","62","47","1321","1207","62","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Gombe","North East","Gombe","","","","3255","3209","1909","707","625","82","46","1300","1202","82","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Taraba","North East","Taraba","","","","3778","3723","2447","929","825","106","55","1276","1518","106","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Yobe","North East","Yobe","","","","3469","3417","2502","920","807","115","52","915","1581","115","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Jigawa","North West","Jigawa","","","","3528","3474","2510","861","761","100","54","964","1649","100","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Kaduna","North West","Kaduna","","","","2041","2011","1376","462","421","41","30","635","914","41","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Kano","North West","Kano","","","","4148","4087","2515","860","734","126","61","1572","1655","126","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Katsina","North West","Katsina","","","","3807","3752","2176","796","697","99","55","1576","1380","99","1.744838026036936"
"2020/2021","Female","all","NECO","Polytechnic","state","Kebbi","North West","Kebbi","","","","2926","2882","1721","668","582","86","44","1161","1053","86","1.744838026036936"
