session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,300,211,86,48,40,0,89,129,40,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,186,127,61,48,16,0,59,66,16,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Kano,North West,Kano,,,,0,356,217,59,30,29,0,139,158,29,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,338,193,90,78,20,0,145,103,20,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,274,167,80,60,24,0,107,87,24,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,242,158,83,45,43,0,84,75,43,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,285,216,105,112,0,0,69,111,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Abia,South East,Abia,,,,0,267,192,85,85,0,0,75,107,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,284,186,68,67,4,0,98,118,4,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,230,139,56,56,6,0,91,84,6,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,406,234,108,101,8,0,172,126,8,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Imo,South East,Imo,,,,0,324,187,100,90,10,0,137,87,10,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,246,159,76,78,0,0,87,83,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,240,173,77,78,6,0,67,96,6,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,323,237,93,88,8,0,86,145,8,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Delta,South South,Delta,,,,0,387,258,112,117,3,0,129,146,3,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Edo,South South,Edo,,,,0,196,123,70,72,0,0,73,53,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,365,204,79,80,0,0,161,125,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,171,101,48,48,0,0,70,53,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,563,376,154,154,0,0,187,222,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,321,226,121,116,7,0,95,105,7,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,352,267,94,102,2,0,85,173,2,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Osun,South West,Osun,,,,0,326,219,100,101,0,0,107,119,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,189,117,54,55,0,0,72,63,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Benue,North Central,Benue,,,,0,299,212,90,79,12,0,87,122,12,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,247,147,60,49,12,0,100,87,12,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Kogi,North Central,Kogi,,,,0,375,213,90,63,29,0,162,123,29,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Kwara,North Central,Kwara,,,,0,326,191,74,75,0,0,135,117,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,238,161,60,61,3,0,77,101,3,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Niger,North Central,Niger,,,,0,297,204,106,78,31,0,93,100,31,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Plateau,North Central,Plateau,,,,0,361,256,105,111,2,0,105,151,2,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Adamawa,North East,Adamawa,,,,0,369,249,94,54,41,0,120,159,41,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Bauchi,North East,Bauchi,,,,0,312,210,80,60,22,0,102,131,22,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Borno,North East,Borno,,,,0,304,174,71,35,38,0,130,103,38,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Gombe,North East,Gombe,,,,0,193,112,49,39,14,0,81,64,14,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Taraba,North East,Taraba,,,,0,176,119,36,24,14,0,57,83,14,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Yobe,North East,Yobe,,,,0,246,184,64,49,16,0,62,121,16,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Jigawa,North West,Jigawa,,,,0,288,212,79,42,39,0,76,133,39,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Kaduna,North West,Kaduna,,,,0,521,348,167,144,27,0,173,184,27,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Kano,North West,Kano,,,,0,454,278,158,90,68,0,176,130,68,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Katsina,North West,Katsina,,,,0,306,183,79,29,52,0,123,105,52,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Kebbi,North West,Kebbi,,,,0,361,227,100,95,9,0,134,127,9,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Sokoto,North West,Sokoto,,,,0,445,287,124,99,32,0,158,163,32,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Zamfara,North West,Zamfara,,,,0,249,194,84,80,7,0,55,110,7,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Abia,South East,Abia,,,,0,301,215,80,80,0,0,86,135,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Anambra,South East,Anambra,,,,0,347,243,84,82,4,0,104,159,4,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Ebonyi,South East,Ebonyi,,,,0,422,258,95,97,9,0,164,163,9,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Enugu,South East,Enugu,,,,0,241,134,56,55,4,0,107,78,4,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Imo,South East,Imo,,,,0,291,176,80,75,5,0,115,96,5,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Akwa Ibom,South South,Akwa Ibom,,,,0,348,220,92,92,3,0,128,128,3,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Bayelsa,South South,Bayelsa,,,,0,120,90,45,40,7,0,30,45,7,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Cross River,South South,Cross River,,,,0,232,157,68,68,0,0,75,89,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Delta,South South,Delta,,,,0,261,177,77,70,13,0,84,100,13,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Edo,South South,Edo,,,,0,352,205,105,96,10,0,147,100,10,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Rivers,South South,Rivers,,,,0,330,187,85,84,3,0,143,102,3,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Ekiti,South West,Ekiti,,,,0,272,160,79,72,7,0,112,81,7,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Lagos,South West,Lagos,,,,0,521,337,160,154,7,0,184,177,7,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Ogun,South West,Ogun,,,,0,255,169,74,79,0,0,86,95,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Ondo,South West,Ondo,,,,0,293,220,69,75,0,0,73,151,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Osun,South West,Osun,,,,0,302,197,100,103,0,0,105,97,0,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,state,Oyo,South West,Oyo,,,,0,371,218,104,100,5,0,153,114,5,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Benue,North Central,Benue,,,,0,163,116,12,0,12,0,47,104,12,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,188,123,18,6,12,0,66,105,12,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Kogi,North Central,Kogi,,,,0,181,99,16,5,11,0,82,83,11,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Kwara,North Central,Kwara,,,,0,138,82,9,5,5,0,56,73,5,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Nasarawa,North Central,Nasarawa,,,,0,150,103,30,14,18,0,47,73,18,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Niger,North Central,Niger,,,,0,193,141,22,0,22,0,52,119,22,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Plateau,North Central,Plateau,,,,0,160,102,38,10,30,0,58,66,30,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Adamawa,North East,Adamawa,,,,0,164,115,0,0,0,0,49,115,0,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Bauchi,North East,Bauchi,,,,0,216,129,14,7,7,0,88,116,7,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Borno,North East,Borno,,,,0,150,85,7,0,7,0,65,78,7,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Gombe,North East,Gombe,,,,0,166,109,13,0,13,0,57,96,13,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Taraba,North East,Taraba,,,,0,201,132,8,0,8,0,69,126,8,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Yobe,North East,Yobe,,,,0,153,112,0,0,0,0,41,112,0,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,187,137,39,8,31,0,51,99,31,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,238,158,44,29,17,0,81,115,17,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Kano,North West,Kano,,,,0,261,136,9,0,9,0,125,128,9,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Katsina,North West,Katsina,,,,0,194,108,7,0,7,0,86,102,7,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,127,75,18,10,8,0,53,57,8,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,181,124,17,0,17,0,57,109,17,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,220,157,63,21,42,0,63,94,42,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Abia,South East,Abia,,,,0,188,133,25,5,20,0,56,108,20,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Anambra,South East,Anambra,,,,0,217,150,52,26,28,0,68,98,28,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Ebonyi,South East,Ebonyi,,,,0,89,57,16,4,13,0,32,41,13,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Enugu,South East,Enugu,,,,0,152,88,24,4,20,0,64,64,20,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Imo,South East,Imo,,,,0,163,91,15,5,10,0,72,76,10,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Akwa Ibom,South South,Akwa Ibom,,,,0,148,93,28,17,12,0,55,65,12,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Bayelsa,South South,Bayelsa,,,,0,186,119,37,9,29,0,67,82,29,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Cross River,South South,Cross River,,,,0,142,100,36,12,24,0,42,65,24,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Delta,South South,Delta,,,,0,143,90,12,0,12,0,53,78,12,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Edo,South South,Edo,,,,0,201,134,45,15,30,0,67,89,30,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Rivers,South South,Rivers,,,,0,182,105,24,8,16,0,77,81,16,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Ekiti,South West,Ekiti,,,,0,211,128,47,20,28,0,83,81,28,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Lagos,South West,Lagos,,,,0,163,107,35,21,14,0,57,72,14,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Ogun,South West,Ogun,,,,0,261,186,39,19,21,0,76,147,21,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Ondo,South West,Ondo,,,,0,144,101,32,13,20,0,45,69,20,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Osun,South West,Osun,,,,0,127,85,20,16,5,0,43,65,5,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,state,Oyo,South West,Oyo,,,,0,242,159,45,20,25,0,83,114,25,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Benue,North Central,Benue,,,,0,176,112,18,0,18,0,64,94,18,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,192,117,30,6,24,0,75,87,24,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Kogi,North Central,Kogi,,,,0,160,87,18,6,12,0,73,69,12,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Kwara,North Central,Kwara,,,,0,216,130,25,0,25,0,86,105,25,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Nasarawa,North Central,Nasarawa,,,,0,122,79,18,7,12,0,43,61,12,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Niger,North Central,Niger,,,,0,159,114,14,0,14,0,45,100,14,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Plateau,North Central,Plateau,,,,0,151,108,40,14,26,0,45,68,26,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Adamawa,North East,Adamawa,,,,0,167,117,0,0,0,0,50,117,0,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Bauchi,North East,Bauchi,,,,0,105,63,0,0,0,0,42,63,0,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Borno,North East,Borno,,,,0,164,97,14,0,14,0,67,83,14,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Gombe,North East,Gombe,,,,0,152,92,13,9,4,0,60,79,4,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Taraba,North East,Taraba,,,,0,174,114,16,0,16,0,60,100,16,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Yobe,North East,Yobe,,,,0,176,121,0,0,0,0,55,121,0,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,158,108,7,0,7,0,50,101,7,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,102,75,9,0,9,0,27,67,9,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Kano,North West,Kano,,,,0,196,112,0,0,0,0,85,112,0,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,186,108,19,0,19,0,78,89,19,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,153,86,24,10,14,0,67,62,14,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,134,89,8,0,8,0,45,82,8,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,161,108,21,15,7,0,53,87,7,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Abia,South East,Abia,,,,0,142,108,30,10,20,0,34,78,20,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,140,103,40,24,16,0,38,63,16,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,124,83,21,11,12,0,42,62,12,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,234,131,40,16,24,0,103,91,24,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Imo,South East,Imo,,,,0,195,114,15,0,15,0,81,99,15,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,139,92,24,9,16,0,47,68,16,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,136,100,22,4,18,0,36,78,18,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,176,120,32,4,28,0,56,88,28,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Delta,South South,Delta,,,,0,234,150,55,17,38,0,84,95,38,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Edo,South South,Edo,,,,0,121,77,25,5,20,0,44,52,20,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,205,123,39,8,31,0,82,84,31,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,96,60,20,8,12,0,36,40,12,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,345,227,77,14,63,0,119,150,63,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,183,130,31,7,24,0,53,99,24,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,182,136,33,0,33,0,46,105,33,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Osun,South West,Osun,,,,0,174,106,30,0,30,0,68,78,30,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,109,75,19,10,10,0,35,56,10,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Benue,North Central,Benue,,,,0,167,111,30,6,24,0,56,81,24,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,136,84,24,6,18,0,52,63,18,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Kogi,North Central,Kogi,,,,0,217,132,16,6,11,0,85,116,11,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Kwara,North Central,Kwara,,,,0,172,104,34,10,24,0,68,70,24,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,136,91,24,6,18,0,45,67,18,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Niger,North Central,Niger,,,,0,154,114,15,0,15,0,40,99,15,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Plateau,North Central,Plateau,,,,0,197,144,57,24,35,0,54,87,35,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Adamawa,North East,Adamawa,,,,0,208,138,11,0,11,0,70,127,11,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Bauchi,North East,Bauchi,,,,0,194,114,37,7,30,0,80,80,30,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Borno,North East,Borno,,,,0,172,91,18,0,18,0,81,74,18,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Gombe,North East,Gombe,,,,0,98,64,9,0,9,0,34,55,9,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Taraba,North East,Taraba,,,,0,107,69,7,0,7,0,38,62,7,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Yobe,North East,Yobe,,,,0,130,85,16,0,16,0,45,73,16,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Jigawa,North West,Jigawa,,,,0,167,111,8,0,8,0,57,104,8,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Kaduna,North West,Kaduna,,,,0,297,200,44,0,44,0,97,156,44,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Kano,North West,Kano,,,,0,254,164,30,10,20,0,90,134,20,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Katsina,North West,Katsina,,,,0,177,105,7,0,7,0,72,99,7,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Kebbi,North West,Kebbi,,,,0,200,121,24,5,20,0,79,97,20,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Sokoto,North West,Sokoto,,,,0,250,176,42,0,42,0,75,137,42,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Zamfara,North West,Zamfara,,,,0,151,115,7,0,7,0,38,108,7,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Abia,South East,Abia,,,,0,158,113,40,10,30,0,48,73,30,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Anambra,South East,Anambra,,,,0,180,126,40,13,28,0,54,87,28,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Ebonyi,South East,Ebonyi,,,,0,234,153,34,11,25,0,82,119,25,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Enugu,South East,Enugu,,,,0,145,87,24,25,0,0,58,63,0,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Imo,South East,Imo,,,,0,169,93,20,10,10,0,76,73,10,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Akwa Ibom,South South,Akwa Ibom,,,,0,168,107,32,17,16,0,61,75,16,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Bayelsa,South South,Bayelsa,,,,0,64,43,23,0,23,0,21,23,23,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Cross River,South South,Cross River,,,,0,138,91,28,8,20,0,47,63,20,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Delta,South South,Delta,,,,0,146,99,33,6,27,0,47,66,27,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Edo,South South,Edo,,,,0,193,122,20,5,15,0,71,102,15,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Rivers,South South,Rivers,,,,0,179,105,20,12,8,0,74,86,8,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Ekiti,South West,Ekiti,,,,0,175,102,28,20,8,0,73,74,8,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Lagos,South West,Lagos,,,,0,295,187,49,0,49,0,108,138,49,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Ogun,South West,Ogun,,,,0,129,95,12,6,6,0,35,83,6,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Ondo,South West,Ondo,,,,0,164,122,44,25,20,0,42,78,20,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Osun,South West,Osun,,,,0,170,106,25,0,25,0,64,81,25,1.5
2019/2020,Female,all,NABTEB,5+-year,University,state,Oyo,South West,Oyo,,,,0,198,123,29,0,29,0,75,94,29,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Benue,North Central,Benue,,,,0,1501,1023,374,365,16,0,478,649,16,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,1826,1125,386,347,42,0,701,739,42,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Kogi,North Central,Kogi,,,,0,1397,795,300,263,48,0,602,495,48,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Kwara,North Central,Kwara,,,,0,1208,713,260,228,35,0,495,453,35,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Nasarawa,North Central,Nasarawa,,,,0,1249,824,326,284,44,0,425,498,44,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Niger,North Central,Niger,,,,0,1741,1237,409,376,40,0,504,828,40,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Plateau,North Central,Plateau,,,,0,1227,886,322,283,45,0,341,564,45,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Adamawa,North East,Adamawa,,,,0,1467,994,378,340,55,0,473,616,53,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Bauchi,North East,Bauchi,,,,0,1781,1076,360,335,46,0,705,716,46,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Borno,North East,Borno,,,,0,1218,700,251,204,51,0,518,449,51,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Gombe,North East,Gombe,,,,0,1476,862,332,323,28,0,614,530,28,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Taraba,North East,Taraba,,,,0,1639,1071,424,359,71,0,568,647,71,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Yobe,North East,Yobe,,,,0,1188,841,295,267,44,0,347,546,44,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,1622,1195,462,408,64,0,427,733,64,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,2106,1432,493,429,77,0,674,939,77,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Kano,North West,Kano,,,,0,2087,1286,460,396,72,0,801,826,72,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Katsina,North West,Katsina,,,,0,1746,990,352,328,39,0,756,638,39,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,1071,640,255,209,50,0,431,385,50,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,1507,998,384,370,36,0,509,614,36,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,1780,1258,457,434,47,0,522,801,47,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Abia,South East,Abia,,,,0,1702,1238,475,418,62,0,464,763,62,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Anambra,South East,Anambra,,,,0,1729,1161,455,411,52,0,568,706,52,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Ebonyi,South East,Ebonyi,,,,0,707,426,158,142,19,0,281,268,19,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Enugu,South East,Enugu,,,,0,1353,769,297,269,35,0,584,472,35,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Imo,South East,Imo,,,,0,1394,829,320,281,47,0,565,509,47,1.5
2019/2020,Female,all,NECO,1-year,College of Education,state,Akwa Ibom,South South,Akwa Ibom,,,,0,1243,818,296,255,42,0,425,522,42,1.5
