session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,Private,SSS,SSS1,SSS1,10,0,1,1,15.15,0,0.0,10.0,10.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,Public,JSS,JSS1,JSS1,22,0,1,1,14.65,0,0.0,22.0,22.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,63,1,1,1,14.15,0,63.0,63.0,63.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,Public,SSS,SSS1,SSS1,25,0,1,1,15.15,0,0.0,25.0,25.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Private,JSS,JSS1,JSS1,141,0,3,2,29.3,0,0.0,47.0,70.5,1,1,0,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,320,1,9,2,28.3,0,320.0,35.5556,160.0,3,1,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Private,SSS,SSS1,SSS1,134,0,4,1,30.3,0,0.0,33.5,134.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Public,JSS,JSS1,JSS1,302,1,7,4,29.3,0,302.0,43.1429,75.5,2,2,1,3,8,3
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,853,2,17,11,28.3,0,426.5,50.1765,77.5455,8,4,2,6,19,7
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,Public,SSS,SSS1,SSS1,263,1,4,1,30.3,0,263.0,65.75,263.0,1,3,1,3,8,3
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Private,JSS,JSS1,JSS1,14,0,1,1,14.65,0,0.0,14.0,14.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,23,0,1,1,14.15,0,0.0,23.0,23.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Private,SSS,SSS1,SSS1,12,0,1,1,15.15,0,0.0,12.0,12.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Public,JSS,JSS1,JSS1,21,0,1,1,14.65,0,0.0,21.0,21.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,66,1,1,1,14.15,0,66.0,66.0,66.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,Public,SSS,SSS1,SSS1,23,0,1,1,15.15,0,0.0,23.0,23.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Private,JSS,JSS1,JSS1,92,0,3,1,29.3,0,0.0,30.6667,92.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,219,0,8,1,28.3,0,0.0,27.375,219.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Private,SSS,SSS1,SSS1,84,0,2,1,30.3,0,0.0,42.0,84.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Public,JSS,JSS1,JSS1,246,1,5,2,29.3,0,246.0,49.2,123.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,633,1,17,3,28.3,0,633.0,37.2353,211.0,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,ALL,Public,SSS,SSS1,SSS1,212,1,4,1,30.3,0,212.0,53.0,212.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,54,1,1,1,14.15,0,54.0,54.0,54.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Female,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Private,JSS,JSS1,JSS1,95,0,3,1,29.3,0,0.0,31.6667,95.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,226,0,8,1,28.3,0,0.0,28.25,226.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Private,SSS,SSS1,SSS1,83,0,2,1,30.3,0,0.0,41.5,83.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Public,JSS,JSS1,JSS1,248,1,5,2,29.3,0,248.0,49.6,124.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,649,1,17,3,28.3,0,649.0,38.1765,216.3333,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,ALL,Public,SSS,SSS1,SSS1,223,1,4,1,30.3,0,223.0,55.75,223.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,55,1,1,1,14.15,0,55.0,55.0,55.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Community Secondary School, Oro-Igwe",Male,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Private,JSS,JSS1,JSS1,92,0,2,1,29.3,0,0.0,46.0,92.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,219,0,6,1,28.3,0,0.0,36.5,219.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Private,SSS,SSS1,SSS1,84,0,2,1,30.3,0,0.0,42.0,84.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Public,JSS,JSS1,JSS1,246,1,4,2,29.3,0,246.0,61.5,123.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,633,1,17,4,28.3,0,633.0,37.2353,158.25,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,ALL,Public,SSS,SSS1,SSS1,212,1,5,1,30.3,0,212.0,42.4,212.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,54,1,1,1,14.15,0,54.0,54.0,54.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Female,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Private,JSS,JSS1,JSS1,95,0,2,1,29.3,0,0.0,47.5,95.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,226,0,6,1,28.3,0,0.0,37.6667,226.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Private,SSS,SSS1,SSS1,83,0,2,1,30.3,0,0.0,41.5,83.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Public,JSS,JSS1,JSS1,248,1,4,2,29.3,0,248.0,62.0,124.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,649,1,17,4,28.3,0,649.0,38.1765,162.25,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,ALL,Public,SSS,SSS1,SSS1,223,1,5,1,30.3,0,223.0,44.6,223.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,55,1,1,1,14.15,0,55.0,55.0,55.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Comprehensive High School, Oro-Igwe",Male,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Private,JSS,JSS1,JSS1,92,0,2,1,29.3,0,0.0,46.0,92.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,219,0,6,1,28.3,0,0.0,36.5,219.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Private,SSS,SSS1,SSS1,84,0,2,1,30.3,0,0.0,42.0,84.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Public,JSS,JSS1,JSS1,246,1,5,2,29.3,0,246.0,49.2,123.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,633,1,17,8,28.3,0,633.0,37.2353,79.125,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,ALL,Public,SSS,SSS1,SSS1,212,1,5,6,30.3,0,212.0,42.4,35.3333,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,54,1,1,1,14.15,0,54.0,54.0,54.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Female,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Private,JSS,JSS1,JSS1,95,0,2,1,29.3,0,0.0,47.5,95.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,226,0,6,1,28.3,0,0.0,37.6667,226.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Private,SSS,SSS1,SSS1,83,0,2,1,30.3,0,0.0,41.5,83.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Public,JSS,JSS1,JSS1,248,1,5,2,29.3,0,248.0,49.6,124.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,649,1,17,9,28.3,0,649.0,38.1765,72.1111,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,ALL,Public,SSS,SSS1,SSS1,223,1,6,6,30.3,0,223.0,37.1667,37.1667,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,55,1,1,1,14.15,0,55.0,55.0,55.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Government Secondary School, Oro-Igwe",Male,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Private,JSS,JSS1,JSS1,92,0,2,1,29.3,0,0.0,46.0,92.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,219,0,7,1,28.3,0,0.0,31.2857,219.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Private,SSS,SSS1,SSS1,84,0,2,1,30.3,0,0.0,42.0,84.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Public,JSS,JSS1,JSS1,246,1,4,7,29.3,0,246.0,61.5,35.1429,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,633,1,12,5,28.3,0,633.0,52.75,126.6,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,ALL,Public,SSS,SSS1,SSS1,212,1,5,1,30.3,0,212.0,42.4,212.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,54,1,1,1,14.15,0,54.0,54.0,54.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Female,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Private,JSS,JSS1,JSS1,95,0,2,1,29.3,0,0.0,47.5,95.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,226,0,7,2,28.3,0,0.0,32.2857,113.0,2,1,1,2,5,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Private,SSS,SSS1,SSS1,83,0,2,1,30.3,0,0.0,41.5,83.0,0,1,0,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Public,JSS,JSS1,JSS1,248,1,4,7,29.3,0,248.0,62.0,35.4286,1,2,1,2,7,3
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,649,1,12,5,28.3,0,649.0,54.0833,129.8,7,3,2,5,14,5
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,ALL,Public,SSS,SSS1,SSS1,223,1,5,1,30.3,0,223.0,44.6,223.0,1,2,1,2,6,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,21,0,1,1,14.15,0,0.0,21.0,21.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Private,SSS,SSS1,SSS1,6,0,1,1,15.15,0,0.0,6.0,6.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Public,JSS,JSS1,JSS1,19,0,1,1,14.65,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,55,1,1,1,14.15,0,55.0,55.0,55.0,0,1,1,1,4,2
2022/2023,South South,Rivers,Obio/Akpor,Oro-Igwe,"Unity College, Obio-Akpor",Male,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Private,JSS,JSS1,JSS1,130,0,3,1,29.3,0,0.0,43.3333,130.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,193,0,5,1,28.3,0,0.0,38.6,193.0,2,1,0,1,4,2
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Private,SSS,SSS1,SSS1,122,0,3,1,30.3,0,0.0,40.6667,122.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Public,JSS,JSS1,JSS1,286,1,7,4,29.3,0,286.0,40.8571,71.5,2,2,1,3,8,3
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,794,2,20,8,28.3,0,397.0,39.7,99.25,8,4,2,6,19,7
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,ALL,Public,SSS,SSS1,SSS1,236,1,6,4,30.3,0,236.0,39.3333,59.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,Disabled,Private,JSS,JSS1,JSS1,10,0,1,1,14.65,0,0.0,10.0,10.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,12,0,1,1,14.15,0,0.0,12.0,12.0,0,0,0,1,1,1
2022/2023,South South,Rivers,Okrika,Kalio,"Community Secondary School, Kalio",Female,Disabled,Private,SSS,SSS1,SSS1,11,0,1,1,15.15,0,0.0,11.0,11.0,0,1,1,1,2,1
