session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2022/2023,North East,Yobe,Nguru,College of Education,Other College of Education Admissions - Yobe 1,Male,all,Non-STEMM,Education,Economics Education,2398,2201
2022/2023,North East,Yobe,Nguru,College of Education,Other College of Education Admissions - Yobe 1,Male,all,STEMM,Environmental Sciences,Estate Management,181,168
2022/2023,North East,Yobe,Nguru,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,31,28
2022/2023,North East,Yobe,Nguru,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,9,9
2022/2023,North East,Yobe,Potiskum,Polytechnic,Other Polytechnic Admissions - Yobe 1,Male,all,STEMM,Engineering,Petroleum Engineering,1208,1110
2022/2023,North East,Yobe,Potiskum,Polytechnic,Other Polytechnic Admissions - Yobe 1,Male,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North East,Yobe,Potiskum,Polytechnic,Other Polytechnic Admissions - Yobe 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,92,85
2022/2023,North West,Zamfara,Gusau,University,Other University Admissions - Zamfara 1,Female,all,Non-STEMM,ART,Theatre Arts,5118,4698
2022/2023,North West,Zamfara,Gusau,University,Other University Admissions - Zamfara 1,Female,all,STEMM,Medicine / Health Sciences,Anatomy,798,734
2022/2023,North West,Zamfara,Kaura Namoda,Polytechnic,Other Small Institution Admissions,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,280,257
2022/2023,North West,Zamfara,Maru,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,12,12
2022/2023,North West,Zamfara,Talata Mafara,College of Education,Other College of Education Admissions - Zamfara 1,Female,all,STEMM,Environmental Sciences,Estate Management,30,30
2022/2023,North West,Zamfara,Talata Mafara,College of Education,Other College of Education Admissions - Zamfara 1,Female,all,STEMM,Physical Sciences,Industrial Chemistry,1448,1331
2022/2023,North West,Zamfara,Talata Mafara,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Estate Management,30,30
2022/2023,North West,Zamfara,Talata Mafara,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Estate Management,36,30
2022/2023,North West,Zamfara,Gusau,University,Other University Admissions - Zamfara 1,Male,all,Non-STEMM,ART,Theatre Arts,6765,6214
2022/2023,North West,Zamfara,Gusau,University,Other University Admissions - Zamfara 1,Male,all,STEMM,Medicine / Health Sciences,Anatomy,855,786
2022/2023,North West,Zamfara,Kaura Namoda,Polytechnic,Other Small Institution Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,18,18
2022/2023,North West,Zamfara,Kaura Namoda,Polytechnic,Other Small Institution Admissions,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,552,509
2022/2023,North West,Zamfara,Maru,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,36,36
2022/2023,North West,Zamfara,Maru,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,18,18
2022/2023,North West,Zamfara,Talata Mafara,College of Education,Other College of Education Admissions - Zamfara 1,Male,all,STEMM,Environmental Sciences,Estate Management,71,62
2022/2023,North West,Zamfara,Talata Mafara,College of Education,Other College of Education Admissions - Zamfara 1,Male,all,STEMM,Physical Sciences,Industrial Chemistry,2768,2545
2022/2023,North West,Zamfara,Talata Mafara,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Estate Management,71,62
2022/2023,North West,Zamfara,Talata Mafara,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Estate Management,71,62
2022/2023,North West,Zamfara,Talata Mafara,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,18,18
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,disabled,Non-STEMM,Social Sciences,Political Science,26,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,2,1
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,disabled,Non-STEMM,Social Sciences,Political Science,27,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,disabled,STEMM,Mathematics / Statistics,Statistics,2,1
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,disabled,Non-STEMM,Social Sciences,Political Science,26,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,disabled,Non-STEMM,Social Sciences,Psychology,7,6
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,disabled,STEMM,Mathematics / Statistics,Statistics,2,1
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,disabled,Non-STEMM,Social Sciences,Political Science,26,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,disabled,STEMM,Mathematics / Statistics,Statistics,1,1
2022/2023,South East,Abia,Aba South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Female,disabled,STEMM,Agriculture,Animal Science,8,8
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,6,5
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,disabled,Non-STEMM,Social Sciences,Political Science,27,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,2,2
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,disabled,Non-STEMM,Social Sciences,Political Science,27,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,disabled,STEMM,Mathematics / Statistics,Statistics,2,2
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,disabled,Non-STEMM,Social Sciences,Political Science,26,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,disabled,STEMM,Mathematics / Statistics,Statistics,2,2
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,disabled,Non-STEMM,Social Sciences,Political Science,26,24
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,disabled,Non-STEMM,Social Sciences,Psychology,7,7
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,disabled,STEMM,Mathematics / Statistics,Statistics,2,2
2022/2023,South East,Abia,Aba South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,0
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Male,disabled,STEMM,Agriculture,Animal Science,11,10
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,5,4
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,11,12
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,disabled,Non-STEMM,Education,Social Studies Education,98,90
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Mathematics / Statistics,Mathematics,71,65
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,9,9
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,15,13
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,disabled,Non-STEMM,Education,Social Studies Education,75,70
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Mathematics / Statistics,Mathematics,86,78
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,7,7
2022/2023,North East,Adamawa,Numan,College of Education,Other College of Education Admissions - Adamawa 1,Female,disabled,Non-STEMM,Education,Social Studies Education,114,105
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,3,2
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,disabled,STEMM,Health Sciences,Public Health,174,161
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,disabled,STEMM,Medicine / Health Sciences,Radiography,19,17
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,disabled,STEMM,Technology / ICT,Information Technology,181,166
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,disabled,STEMM,Health Sciences,Public Health,172,159
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,disabled,STEMM,Medicine / Health Sciences,Radiography,19,17
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,disabled,STEMM,Technology / ICT,Information Technology,181,166
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,24,22
2022/2023,North East,Adamawa,Numan,College of Education,Other College of Education Admissions - Adamawa 1,Male,disabled,Non-STEMM,Education,Social Studies Education,98,91
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,disabled,STEMM,Health Sciences,Public Health,134,122
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,disabled,STEMM,Medicine / Health Sciences,Radiography,15,13
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,disabled,STEMM,Technology / ICT,Information Technology,271,249
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,disabled,STEMM,Health Sciences,Public Health,132,120
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,disabled,STEMM,Medicine / Health Sciences,Radiography,15,13
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,disabled,STEMM,Technology / ICT,Information Technology,268,247
2022/2023,North East,Adamawa,Yola South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,34,31
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,2,2
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,2,2
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,4,4
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Female,disabled,STEMM,Medicine / Health Sciences,Radiography,34,31
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,disabled,Non-STEMM,ART,History and International Studies,105,96
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,disabled,Non-STEMM,Social Sciences,Public Administration,64,59
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,disabled,STEMM,Environmental Sciences,Estate Management,0,1
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,disabled,STEMM,Mathematics / Statistics,Mathematics,17,15
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,Other College of Education Admissions - Akwa Ibom 1,Female,disabled,STEMM,Physical Sciences,Physics,34,31
2022/2023,South South,Akwa Ibom,Oron,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,1
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,disabled,Non-STEMM,ART,English and Literary Studies,52,47
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,disabled,Non-STEMM,Social Sciences,Public Administration,34,31
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,8,7
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,disabled,Non-STEMM,ART,English and Literary Studies,52,47
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,disabled,Non-STEMM,Social Sciences,Public Administration,34,31
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,disabled,STEMM,Mathematics / Statistics,Statistics,8,7
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,3,3
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,3,3
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,5,5
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Male,disabled,STEMM,Medicine / Health Sciences,Radiography,24,23
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,disabled,Non-STEMM,ART,History and International Studies,92,85
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,disabled,Non-STEMM,Social Sciences,Public Administration,61,56
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,disabled,STEMM,Environmental Sciences,Estate Management,1,0
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,disabled,STEMM,Mathematics / Statistics,Mathematics,21,19
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,Other College of Education Admissions - Akwa Ibom 1,Male,disabled,STEMM,Physical Sciences,Physics,43,39
2022/2023,South South,Akwa Ibom,Oron,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,disabled,Non-STEMM,ART,English and Literary Studies,45,41
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,disabled,Non-STEMM,Social Sciences,Public Administration,32,30
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,10,9
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,disabled,Non-STEMM,ART,English and Literary Studies,45,41
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,disabled,Non-STEMM,Social Sciences,Public Administration,32,29
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,disabled,STEMM,Mathematics / Statistics,Statistics,10,9
2022/2023,South East,Anambra,Awka North,University,"Legacy University, Okija, Anambra State",Female,disabled,STEMM,Medicine / Health Sciences,Physiology,0,0
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,12
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Female,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,4
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,12
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Female,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,4
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,12
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Female,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,3
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,disabled,STEMM,Medicine / Health Sciences,Radiography,6,6
2022/2023,South East,Anambra,Awka South,University,"Paul University, Awka, Anambra State",Female,disabled,STEMM,Medicine / Health Sciences,Physiology,1,1
2022/2023,South East,Anambra,Nnewi North,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Female,disabled,Non-STEMM,Education,Mathematics Education,10,9
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,1
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,0
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,disabled,STEMM,Engineering,Civil Engineering,32,30
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,disabled,STEMM,Physical Sciences,Chemistry,5,4
2022/2023,South East,Anambra,Awka North,University,"Legacy University, Okija, Anambra State",Male,disabled,STEMM,Medicine / Health Sciences,Physiology,0,0
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,12
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Male,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,3
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,12
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Male,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,3
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,13,11
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Male,disabled,Non-STEMM,Social Sciences,Library and Information Science,4,3
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,disabled,STEMM,Medicine / Health Sciences,Radiography,4,4
2022/2023,South East,Anambra,Awka South,University,"Paul University, Awka, Anambra State",Male,disabled,STEMM,Medicine / Health Sciences,Physiology,0,0
2022/2023,South East,Anambra,Nnewi North,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Male,disabled,Non-STEMM,Education,Mathematics Education,8,8
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,1
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,disabled,STEMM,Engineering,Civil Engineering,45,41
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,0,0
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,disabled,STEMM,Physical Sciences,Chemistry,6,6
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Female,disabled,Non-STEMM,ART,Law,244,225
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Female,disabled,Non-STEMM,ART,Theatre Arts,89,81
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Female,disabled,Non-STEMM,ART,Law,242,222
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Female,disabled,Non-STEMM,ART,Theatre Arts,86,78
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,3,3
2022/2023,North East,Bauchi,Katagum,College of Education,Other College of Education Admissions - Bauchi 1,Female,disabled,Non-STEMM,Education,Mathematics Education,279,257
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Female,disabled,STEMM,Engineering,Chemical Engineering,134,124
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,22,19
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Male,disabled,Non-STEMM,ART,Law,243,224
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Male,disabled,Non-STEMM,ART,Theatre Arts,87,79
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Male,disabled,Non-STEMM,ART,Law,240,221
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Male,disabled,Non-STEMM,ART,Theatre Arts,84,76
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,6,6
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,6,6
2022/2023,North East,Bauchi,Katagum,College of Education,Other College of Education Admissions - Bauchi 1,Male,disabled,Non-STEMM,Education,Mathematics Education,255,234
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Male,disabled,STEMM,Engineering,Chemical Engineering,207,191
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,30,27
2022/2023,North East,Bauchi,Warji,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,South South,Bayelsa,Brass,Polytechnic,Other Polytechnic Admissions - Bayelsa 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,7,6
2022/2023,South South,Bayelsa,Kolokuma/Opokuma,College of Education,Other Small Institution Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,2,3
