session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Mathematics / Statistics,Statistics,1,1,0
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Science,Geology,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Science,Physics,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Technology / ICT,Data Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Female,disabled,STEMM,Technology / ICT,Information Technology,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Arts,Law,13,11,10
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Business / Administration / Law,Insurance,15,12,11
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Business / Administration / Law,Marketing,15,12,11
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Communication / Media,Broadcasting,10,8,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Communication / Media,Development Communication,13,11,10
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Communication / Media,Journalism and Media Studies,10,8,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Communication / Media,Public Relations,13,9,9
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Social Sciences,Accounting,10,8,7
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Social Sciences,Mass Communication,8,6,6
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,Non-STEMM,Social Sciences,Public Administration,12,9,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Biological Sciences,Biochemistry,12,9,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Engineering,Chemical Engineering,12,9,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Engineering,Mechanical Engineering,11,9,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Engineering,Petroleum Engineering,14,11,10
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Mathematics / Statistics,Actuarial Science,13,10,9
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Mathematics / Statistics,Applied Mathematics,13,10,9
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Mathematics / Statistics,Operations Research,13,11,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Mathematics / Statistics,Statistics,10,8,7
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Science,Geology,12,9,8
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Science,Physics,9,7,6
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Science,Plant Science,15,12,10
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Technology / ICT,Data Science,16,13,12
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Technology / ICT,Information Systems,15,11,10
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,all,STEMM,Technology / ICT,Information Technology,14,12,11
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Business / Administration / Law,Insurance,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,0
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Science,Geology,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Science,Physics,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Technology / ICT,Data Science,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Akwa Ibom State Polytechnic,Male,disabled,STEMM,Technology / ICT,Information Technology,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts,Law,8,7,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts / Humanities,Fine and Applied Arts,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts / Humanities,History and International Studies,6,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts / Humanities,Philosophy,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts / Humanities,Religious Studies,8,6,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Arts / Humanities,Theatre Arts,8,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Business / Administration / Law,Marketing,10,8,7
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Communication / Media,Development Communication,8,7,7
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Communication / Media,Journalism and Media Studies,6,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Communication / Media,Public Relations,7,6,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Education,Educational Management,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Education,Educational Technology,12,10,8
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Education,Primary Education Studies,10,8,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Languages,Arabic Studies,7,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Languages,English Language,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Languages,Linguistics,6,4,3
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Languages,Yoruba,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Accounting,7,6,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Business Administration,8,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Criminology,8,7,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Economics,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Geography,9,7,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Mass Communication,5,4,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,all,Non-STEMM,Social Sciences,Psychology,6,5,3
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts / Humanities,Philosophy,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Arts / Humanities,Theatre Arts,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Education,Educational Technology,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Education,Primary Education Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Languages,Arabic Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Languages,English Language,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Languages,Linguistics,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Languages,Yoruba,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Criminology,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Geography,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Female,disabled,Non-STEMM,Social Sciences,Psychology,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts,Law,8,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts / Humanities,Fine and Applied Arts,7,6,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts / Humanities,History and International Studies,7,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts / Humanities,Philosophy,7,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts / Humanities,Religious Studies,10,7,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Arts / Humanities,Theatre Arts,7,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Business / Administration / Law,Marketing,8,7,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Communication / Media,Development Communication,8,7,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Communication / Media,Journalism and Media Studies,6,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Communication / Media,Public Relations,8,6,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Education,Educational Management,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Education,Educational Technology,11,9,8
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Education,Primary Education Studies,11,9,7
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Languages,Arabic Studies,6,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Languages,English Language,6,4,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Languages,Linguistics,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Languages,Yoruba,7,6,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Accounting,8,7,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Business Administration,7,6,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Criminology,8,7,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Economics,6,5,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Geography,8,7,6
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Mass Communication,5,4,4
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,all,Non-STEMM,Social Sciences,Psychology,7,5,5
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts / Humanities,Philosophy,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Arts / Humanities,Theatre Arts,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Education,Educational Technology,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Education,Primary Education Studies,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Languages,Arabic Studies,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Languages,English Language,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Languages,Linguistics,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Languages,Yoruba,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Criminology,1,1,0
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,"College of Education, Ikot Ekpene",Male,disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts,English and Literary Studies,13,11,9
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts,Law,19,15,13
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts / Humanities,History and International Studies,18,13,11
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts / Humanities,Philosophy,13,10,9
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts / Humanities,Religious Studies,17,15,12
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Arts / Humanities,Theatre Arts,21,16,15
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Business / Administration / Law,Marketing,14,11,10
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Communication / Media,Broadcasting,14,11,10
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Communication / Media,Development Communication,18,15,14
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Communication / Media,Public Relations,15,12,10
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Education,Curriculum Studies,18,14,12
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Education,Educational Technology,17,13,12
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Education,Guidance and Counselling,12,9,8
2022/2023,South South,Akwa Ibom,Uyo,University,"Akwa Ibom State University, Ikot Akpaden",Female,all,Non-STEMM,Education,Primary Education Studies,21,16,14
