session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,4,10,12,0,0,0,3,0,11,0
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,7,17,20,1,0,0,4,0,17,1
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,6,15,17,0,0,0,3,0,15,0
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,12,31,34,1,0,0,7,0,30,1
2022/2023,Male,Disabled,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,8,19,21,1,0,0,5,0,18,1
2022/2023,Male,Disabled,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,3,1,0,0,1,0,2,1
2022/2023,Male,Disabled,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2,6,7,2,1,0,1,0,4,1
2022/2023,Male,Disabled,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,6,17,19,4,3,0,3,0,13,1
2022/2023,Male,Disabled,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,4,10,12,4,3,0,2,0,7,1
2022/2023,Male,Disabled,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,8,20,21,4,3,0,4,0,15,1
2023/2024,Female,ALL,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,96,248,270,15,14,0,53,0,230,1
2023/2024,Female,ALL,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,70,179,193,10,9,0,39,0,165,1
2023/2024,Female,ALL,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,38,100,107,6,5,0,21,0,91,1
2023/2024,Female,ALL,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,34,88,102,5,4,0,18,0,88,1
2023/2024,Female,ALL,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,34,89,98,5,4,0,19,0,84,1
2023/2024,Female,ALL,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,30,78,86,4,3,0,17,0,74,1
2023/2024,Female,ALL,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,48,124,138,6,5,0,28,0,119,1
2023/2024,Female,ALL,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,37,97,108,5,4,0,20,0,93,1
2023/2024,Female,ALL,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,66,169,185,8,7,0,37,0,160,1
2023/2024,Female,ALL,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,45,115,125,6,5,0,25,0,108,1
2023/2024,Female,ALL,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,8,20,21,6,5,0,4,0,13,1
2023/2024,Female,ALL,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,25,64,70,21,20,0,14,0,43,1
2023/2024,Female,ALL,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,54,138,152,38,33,0,30,0,99,5
2023/2024,Female,ALL,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,29,75,81,22,22,0,17,0,51,1
2023/2024,Female,ALL,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,58,150,162,45,39,0,32,0,101,6
2023/2024,Female,ALL,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,175,451,494,23,22,0,98,0,425,2
2023/2024,Female,ALL,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,133,344,382,18,16,0,74,0,329,2
2023/2024,Female,ALL,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,68,174,195,10,9,0,38,0,167,1
2023/2024,Female,ALL,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,71,184,204,10,9,0,39,0,175,1
2023/2024,Female,ALL,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,65,169,187,9,7,0,36,0,161,2
2023/2024,Female,ALL,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,64,164,172,7,6,0,35,0,149,1
2023/2024,Female,ALL,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,95,244,269,12,10,0,53,0,232,2
2023/2024,Female,ALL,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,69,177,194,9,8,0,38,0,167,1
2023/2024,Female,ALL,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,115,297,323,14,13,0,64,0,279,1
2023/2024,Female,ALL,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,84,215,234,10,9,0,47,0,203,1
2023/2024,Female,ALL,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,13,32,34,10,8,0,7,0,21,2
2023/2024,Female,ALL,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,41,106,120,26,23,0,23,0,82,4
2023/2024,Female,ALL,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,96,245,264,70,60,13,54,0,168,11
2023/2024,Female,ALL,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,51,132,146,34,29,0,29,0,98,5
2023/2024,Female,ALL,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,102,264,285,68,64,0,57,0,189,5
2023/2024,Female,ALL,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,240,618,662,34,32,0,133,0,566,2
2023/2024,Female,ALL,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,172,444,493,26,24,0,96,0,421,2
2023/2024,Female,ALL,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,94,242,265,14,13,0,52,0,227,1
2023/2024,Female,ALL,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,94,243,271,15,14,0,53,0,231,1
2023/2024,Female,ALL,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,80,207,220,11,10,0,45,0,189,1
2023/2024,Female,ALL,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,82,211,226,10,9,0,45,0,195,1
2023/2024,Female,ALL,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,115,296,327,15,14,0,64,0,282,1
2023/2024,Female,ALL,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,92,236,274,14,13,0,51,0,235,1
2023/2024,Female,ALL,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,159,411,454,22,21,0,88,0,390,1
2023/2024,Female,ALL,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,120,309,327,15,14,0,67,0,282,1
2023/2024,Female,ALL,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,16,42,45,12,11,0,9,0,29,1
2023/2024,Female,ALL,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,57,149,162,41,39,0,31,0,105,2
2023/2024,Female,ALL,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,125,323,359,92,86,0,70,0,232,6
2023/2024,Female,ALL,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,77,199,218,57,54,0,43,0,140,3
2023/2024,Female,ALL,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,152,392,417,108,102,0,84,0,269,6
2023/2024,Female,Disabled,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,10,25,25,2,1,0,5,0,21,1
2023/2024,Female,Disabled,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,6,16,17,1,0,0,3,0,14,1
2023/2024,Female,Disabled,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,8,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,9,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,2,6,6,0,0,0,1,0,5,0
2023/2024,Female,Disabled,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,4,9,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3,8,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,6,16,17,1,0,0,3,0,14,1
2023/2024,Female,Disabled,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,10,10,1,0,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,2,1,0,0,0,0,1,1
2023/2024,Female,Disabled,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2,5,4,3,2,0,1,0,1,1
2023/2024,Female,Disabled,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,13,13,4,3,0,2,0,8,1
2023/2024,Female,Disabled,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,7,8,4,3,0,2,0,3,1
2023/2024,Female,Disabled,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,5,12,12,7,6,0,3,0,4,1
2023/2024,Female,Disabled,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,14,37,40,2,1,0,8,0,34,1
2023/2024,Female,Disabled,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,10,27,31,1,0,0,6,0,27,1
2023/2024,Female,Disabled,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,13,14,1,0,0,3,0,12,1
2023/2024,Female,Disabled,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,14,17,1,0,0,3,0,14,1
2023/2024,Female,Disabled,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,5,14,17,1,0,0,3,0,14,1
2023/2024,Female,Disabled,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,4,10,10,0,0,0,2,0,9,0
2023/2024,Female,Disabled,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,7,19,21,1,0,0,4,0,18,1
2023/2024,Female,Disabled,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,14,15,1,0,0,2,0,13,1
2023/2024,Female,Disabled,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,11,28,30,1,0,0,6,0,26,1
2023/2024,Female,Disabled,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,8,20,23,1,0,0,4,0,20,1
2023/2024,Female,Disabled,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,2,1,0,0,1,0,1,1
2023/2024,Female,Disabled,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3,7,10,2,1,0,2,0,7,1
2023/2024,Female,Disabled,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,7,19,20,6,5,0,3,0,12,1
2023/2024,Female,Disabled,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,4,10,10,3,2,0,2,0,6,1
2023/2024,Female,Disabled,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,7,17,19,6,5,0,4,0,11,1
2023/2024,Female,Disabled,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,20,51,54,2,1,0,11,0,47,1
2023/2024,Female,Disabled,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,14,36,42,2,1,0,8,0,36,1
2023/2024,Female,Disabled,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,6,17,19,1,0,0,3,0,16,1
2023/2024,Female,Disabled,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,7,17,20,1,0,0,4,0,17,1
2023/2024,Female,Disabled,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,6,16,18,1,0,0,4,0,15,1
2023/2024,Female,Disabled,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,6,15,17,1,0,0,3,0,14,1
2023/2024,Female,Disabled,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,9,22,24,1,0,0,5,0,21,1
2023/2024,Female,Disabled,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,8,20,22,1,0,0,4,0,19,1
2023/2024,Female,Disabled,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,14,36,39,2,1,0,8,0,33,1
2023/2024,Female,Disabled,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,10,27,29,1,0,0,6,0,25,1
2023/2024,Female,Disabled,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,3,3,1,0,0,1,0,2,1
2023/2024,Female,Disabled,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,4,9,10,2,1,0,2,0,7,1
2023/2024,Female,Disabled,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,9,24,28,6,5,0,5,0,19,1
2023/2024,Female,Disabled,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,6,14,17,5,4,0,4,0,10,1
2023/2024,Female,Disabled,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,10,27,29,7,6,0,5,0,19,1
2023/2024,Male,ALL,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,80,207,227,13,12,0,45,0,193,1
2023/2024,Male,ALL,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,56,144,162,9,8,0,31,0,138,1
2023/2024,Male,ALL,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,30,78,84,5,4,0,17,0,71,1
2023/2024,Male,ALL,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,29,74,84,5,4,0,17,0,71,1
2023/2024,Male,ALL,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,24,63,64,4,3,0,14,0,54,1
2023/2024,Male,ALL,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,23,60,66,4,3,0,13,0,56,1
2023/2024,Male,ALL,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,39,101,112,6,5,0,21,0,96,1
2023/2024,Male,ALL,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,29,75,86,5,4,0,16,0,73,1
2023/2024,Male,ALL,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,53,137,151,7,6,0,29,0,130,1
2023/2024,Male,ALL,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,36,93,101,6,5,0,19,0,86,1
2023/2024,Male,ALL,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,6,15,17,6,5,0,3,0,9,1
2023/2024,Male,ALL,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,18,46,53,19,18,0,10,0,29,1
2023/2024,Male,ALL,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,38,98,109,34,33,0,21,0,64,1
2023/2024,Male,ALL,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,23,60,69,19,18,0,13,0,44,1
2023/2024,Male,ALL,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,48,125,132,36,31,0,27,0,83,5
2023/2024,Male,ALL,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,143,370,406,23,21,0,79,0,345,3
2023/2024,Male,ALL,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,105,270,301,17,16,0,58,0,256,1
2023/2024,Male,ALL,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,50,127,139,8,7,0,28,0,118,1
2023/2024,Male,ALL,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,55,141,153,10,8,0,31,0,129,2
2023/2024,Male,ALL,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,46,117,122,7,6,0,26,0,104,1
2023/2024,Male,ALL,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,49,127,143,8,7,0,27,0,122,1
2023/2024,Male,ALL,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,79,204,222,13,11,0,44,0,189,2
2023/2024,Male,ALL,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,54,140,156,9,8,0,30,0,133,1
2023/2024,Male,ALL,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,97,250,268,15,13,0,54,0,228,2
2023/2024,Male,ALL,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,69,177,194,10,9,0,38,0,166,1
2023/2024,Male,ALL,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,9,22,25,7,5,0,5,0,16,2
2023/2024,Male,ALL,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,32,81,89,25,22,0,18,0,55,4
2023/2024,Male,ALL,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,73,188,201,61,55,0,41,0,121,6
2023/2024,Male,ALL,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,41,104,116,36,31,0,23,0,68,5
2023/2024,Male,ALL,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,87,223,243,71,62,13,48,0,148,10
2023/2024,Male,ALL,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,189,488,533,34,31,0,105,0,449,3
2023/2024,Male,ALL,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,138,355,396,26,25,0,77,0,333,1
2023/2024,Male,ALL,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,77,198,211,14,13,0,42,0,178,1
2023/2024,Male,ALL,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,75,194,208,14,13,0,42,0,175,1
2023/2024,Male,ALL,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,57,147,160,10,9,0,32,0,135,1
2023/2024,Male,ALL,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,61,157,174,10,9,0,34,0,148,1
2023/2024,Male,ALL,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,94,242,269,16,15,0,52,0,228,1
2023/2024,Male,ALL,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,78,200,229,15,14,0,43,0,193,1
2023/2024,Male,ALL,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,129,332,365,22,21,0,72,0,310,1
2023/2024,Male,ALL,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,89,229,250,14,13,0,49,0,213,1
2023/2024,Male,ALL,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,12,31,34,11,10,0,6,0,20,1
2023/2024,Male,ALL,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,40,104,109,38,36,0,22,0,60,2
2023/2024,Male,ALL,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,97,250,272,87,83,0,54,0,158,4
2023/2024,Male,ALL,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,62,160,172,60,58,0,35,0,95,2
2023/2024,Male,ALL,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,123,317,335,102,94,13,69,0,200,8
2023/2024,Male,Disabled,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,7,20,21,1,0,0,3,0,18,1
2023/2024,Male,Disabled,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,5,13,14,1,0,0,2,0,12,1
2023/2024,Male,Disabled,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3,7,8,0,0,0,1,0,7,0
2023/2024,Male,Disabled,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,7,8,1,0,0,1,0,6,1
2023/2024,Male,Disabled,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,3,6,7,1,0,0,2,0,5,1
2023/2024,Male,Disabled,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,2,5,4,0,0,0,1,0,4,0
2023/2024,Male,Disabled,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3,7,9,0,0,0,2,0,8,0
2023/2024,Male,Disabled,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3,6,7,1,0,0,2,0,5,1
2023/2024,Male,Disabled,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,12,13,1,0,0,3,0,11,1
2023/2024,Male,Disabled,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,3,8,9,1,0,0,2,0,7,1
2023/2024,Male,Disabled,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,1,2,1,0,0,1,0,1,1
2023/2024,Male,Disabled,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,1,3,3,3,2,0,1,0,0,1
2023/2024,Male,Disabled,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,10,4,3,0,2,0,5,1
2023/2024,Male,Disabled,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,2,6,7,1,0,0,1,0,5,1
2023/2024,Male,Disabled,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,9,9,3,2,0,2,0,5,1
2023/2024,Male,Disabled,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,12,30,32,2,1,0,7,0,27,1
2023/2024,Male,Disabled,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,9,22,24,1,0,0,5,0,21,1
2023/2024,Male,Disabled,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,10,1,0,0,2,0,8,1
2023/2024,Male,Disabled,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,12,13,1,0,0,3,0,11,1
2023/2024,Male,Disabled,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,10,10,1,0,0,2,0,8,1
2023/2024,Male,Disabled,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,4,9,10,0,0,0,2,0,9,0
2023/2024,Male,Disabled,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,6,16,18,1,0,0,3,0,15,1
2023/2024,Male,Disabled,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,10,12,1,0,0,3,0,10,1
2023/2024,Male,Disabled,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,9,22,25,1,0,0,5,0,22,1
2023/2024,Male,Disabled,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,6,16,17,1,0,0,3,0,14,1
2023/2024,Male,Disabled,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,2,1,0,0,0,0,1,1
