zone,state,lga,ward,school
North East,Bauchi,Misau,Ajilin/Gugulin,Shuwarin Nom Primary School
North East,Bauchi,Misau,Ajilin/Gugulin,Tudun Wada Primary School
North East,Bauchi,Misau,Ajilin/Gugulin,Yalwa Primary School
North East,Bauchi,Misau,Beti,Alangawari Primary School
North East,Bauchi,Misau,Beti,Bayawo Primary School
North East,Bauchi,Misau,Beti,Beti Primary School
North East,Bauchi,Misau,Beti,Chandam Primary School
North East,Bauchi,Misau,Beti,Danfisa Primary School
North East,Bauchi,Misau,Beti,Diggeri Primary School
North East,Bauchi,Misau,Beti,Dunkurmi Primary School
North East,Bauchi,Misau,Beti,Fawari Primary School
North East,Bauchi,Misau,Beti,Fudiyya Nur. Primary School
North East,Bauchi,Misau,Beti,Fulatan Primary School
North East,Bauchi,Misau,Beti,G.J.S.S Fawari
North East,Bauchi,Misau,Beti,G.J.S.S. Gaina Fulani
North East,Bauchi,Misau,Beti,G.J.S.S. Waliya
North East,Bauchi,Misau,Beti,Gajanga Nom Primary School
North East,Bauchi,Misau,Beti,Gubdori Primary School
North East,Bauchi,Misau,Beti,Lafiyan Dallari
North East,Bauchi,Misau,Beti,Madaratu Nana Khadija Li Tarbiyatul Yatama
North East,Bauchi,Misau,Beti,Mainari Primary School
North East,Bauchi,Misau,Beti,Maladumba G/Malam Nom Primary School
North East,Bauchi,Misau,Beti,Samadewa Primary School
North East,Bauchi,Misau,Beti,Sarki Ahmadu Alhaji Primary School
North East,Bauchi,Misau,Beti,Weddare Primary School
North East,Bauchi,Misau,Beti,Wuro Bundu Primary School
North East,Bauchi,Misau,Gwaram,Bayako Primary School
North East,Bauchi,Misau,Gwaram,Chogoro Primary School
North East,Bauchi,Misau,Gwaram,Faduwa Nom Primary School
North East,Bauchi,Misau,Gwaram,G.J.S.S Garin Galadima
North East,Bauchi,Misau,Gwaram,G.J.S.S. Gaina Hausa
North East,Bauchi,Misau,Gwaram,G.J.S.S. Gwaram
North East,Bauchi,Misau,Gwaram,G.J.S.S. Yalwa
North East,Bauchi,Misau,Gwaram,Gaduram Primary School
North East,Bauchi,Misau,Gwaram,Galawa Primary School
North East,Bauchi,Misau,Gwaram,Garin Galadima Primary School
North East,Bauchi,Misau,Gwaram,Garin Kare
North East,Bauchi,Misau,Gwaram,Gwaram C.P.S
North East,Bauchi,Misau,Gwaram,Gwaram North Primary  School
North East,Bauchi,Misau,Gwaram,Hilalus Saada Islamiyya
North East,Bauchi,Misau,Gwaram,Jabalya Primary School
North East,Bauchi,Misau,Gwaram,Kantanari Primary School
North East,Bauchi,Misau,Gwaram,Madarasatul Muhammadur Rasulillah Nursery And Primary School Gwaram
North East,Bauchi,Misau,Gwaram,Malunje Primary School
North East,Bauchi,Misau,Gwaram,Ngwaiga Nom Primary School
North East,Bauchi,Misau,Gwaram,Rigar Rafi Primary School
North East,Bauchi,Misau,Gwaram,Sabon Gari Primary School
North East,Bauchi,Misau,Gwaram,Taskai Gabarin Pri School
North East,Bauchi,Misau,Gwaram,Tumfure Primary School
North East,Bauchi,Misau,Hardawa,Alhajiri Primary School
North East,Bauchi,Misau,Hardawa,Asasul Islam Hardawa
North East,Bauchi,Misau,Hardawa,Bautan Kira Nom Primary School
North East,Bauchi,Misau,Hardawa,Dabigi Primary School
North East,Bauchi,Misau,Hardawa,Fagurum Primary School
North East,Bauchi,Misau,Hardawa,Fudiyya Nur And Primary School
North East,Bauchi,Misau,Hardawa,G.G.J.S.S. Hardawa C.P.S
North East,Bauchi,Misau,Hardawa,G.J.S.S. Hardawa North
North East,Bauchi,Misau,Hardawa,G.J.S.S. Hardawa West
North East,Bauchi,Misau,Hardawa,G.J.S.S. Jabalya
North East,Bauchi,Misau,Hardawa,G.J.S.S. Zindi
North East,Bauchi,Misau,Hardawa,Ggss Hardawa
North East,Bauchi,Misau,Hardawa,Hadawa West Primary School
North East,Bauchi,Misau,Hardawa,Hard Fund Nur. Primary School
North East,Bauchi,Misau,Hardawa,Hardawa C.P.S.
North East,Bauchi,Misau,Hardawa,Hardawa Community
North East,Bauchi,Misau,Hardawa,Hardawa North Primary School
North East,Bauchi,Misau,Hardawa,Hardfund Community Junior Secondary School
North East,Bauchi,Misau,Hardawa,Imam Malik Model School Hardawa
North East,Bauchi,Misau,Hardawa,Jabalya Dutse Primary School
North East,Bauchi,Misau,Hardawa,Jabdo Primary School
North East,Bauchi,Misau,Hardawa,Kafin Bubari Primary School
North East,Bauchi,Misau,Hardawa,Wuro Bogga Primary School
North East,Bauchi,Misau,Jarkasa,Aftaka Primary School
North East,Bauchi,Misau,Jarkasa,Alako Primary School
North East,Bauchi,Misau,Jarkasa,Amr Ibn Asa Ur. Primary School
North East,Bauchi,Misau,Jarkasa,Bangarati Primary School
North East,Bauchi,Misau,Jarkasa,Baya Banza Primary School
North East,Bauchi,Misau,Jarkasa,Dunkui Kasuwa Primary School
North East,Bauchi,Misau,Jarkasa,Durfa Kewol Primary School
North East,Bauchi,Misau,Jarkasa,G.J.S.S Gwani Mukhtar
North East,Bauchi,Misau,Jarkasa,G.J.S.S. Jarkasa
North East,Bauchi,Misau,Jarkasa,G.J.S.S. Jarmari
North East,Bauchi,Misau,Jarkasa,Gundumari Nom Primary School
North East,Bauchi,Misau,Jarkasa,Hassan Bauchi Memorial Junior Secondary School
North East,Bauchi,Misau,Jarkasa,Jarkasa Primary School
North East,Bauchi,Misau,Jarkasa,Kare-Barkeji Primary School
North East,Bauchi,Misau,Jarkasa,Kawada Primary School
North East,Bauchi,Misau,Jarkasa,Kwaptara Primary School
North East,Bauchi,Misau,Jarkasa,Luggudi Nom Primary School
North East,Bauchi,Misau,Jarkasa,Mangari Primary School
North East,Bauchi,Misau,Jarkasa,Rigar Busa Primary School
North East,Bauchi,Misau,Jarkasa,Sabon Sara Primary School
North East,Bauchi,Misau,Jarkasa,Salihawa Primary School
North East,Bauchi,Misau,Jarkasa,Waliya Primary School
North East,Bauchi,Misau,Jarkasa,Waliyan Yamma Nur &Amp; Pri School
North East,Bauchi,Misau,Kukadi/Gundari,A.D. Rufai Quarters Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Agundi Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Ajili Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Arobana Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Babajika Nur. &Amp; Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Badakoshi Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Dallari Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Dutsi Nom Primary School
North East,Bauchi,Misau,Kukadi/Gundari,G.J.S.S Misau Central
North East,Bauchi,Misau,Kukadi/Gundari,G.J.S.S. Kafin Zakka
North East,Bauchi,Misau,Kukadi/Gundari,Gwani Mukhtar Primary School
North East,Bauchi,Misau,Kukadi/Gundari,His Misau (Clis)
North East,Bauchi,Misau,Kukadi/Gundari,Jarmari Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Kafin Argumma Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Kafin Sule Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Kamfata Nom Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Kolori Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Malumawa Nomadic Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Muhammadu Duba Memorial Science Academic
North East,Bauchi,Misau,Kukadi/Gundari,Ngeltannin Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Shinge Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Tulu-Tulu Primary School
North East,Bauchi,Misau,Kukadi/Gundari,Yubade Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Akuyam C.P.S
North East,Bauchi,Misau,Sarma/Akuyam,Akuyam Inclusive Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Akuyam North Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Akuyam West Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Al Madarasatul Irshad Akuyam
North East,Bauchi,Misau,Sarma/Akuyam,Bulum Nom Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Chabai Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Dolama Primary School
North East,Bauchi,Misau,Sarma/Akuyam,G.J.S.S. Ajili
North East,Bauchi,Misau,Sarma/Akuyam,G.J.S.S. Akuyam Central
North East,Bauchi,Misau,Sarma/Akuyam,G.J.S.S. Akuyam North
North East,Bauchi,Misau,Sarma/Akuyam,G.J.S.S. Kafinsule
North East,Bauchi,Misau,Sarma/Akuyam,G.J.S.S. Sarma
North East,Bauchi,Misau,Sarma/Akuyam,Ganji Kwondo Primary
North East,Bauchi,Misau,Sarma/Akuyam,Garin Boyuwa Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Junior Secondary School Clis Misau
North East,Bauchi,Misau,Sarma/Akuyam,Kirikasamma Nom Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Kitabu Wassunnah Akuyam
North East,Bauchi,Misau,Sarma/Akuyam,Madarasatul Khadija Bint Adam Nur And Pri School
North East,Bauchi,Misau,Sarma/Akuyam,Misau Schoolar Academic
North East,Bauchi,Misau,Sarma/Akuyam,Ngaya Bulumjam Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Rigar Ganji Primary School
North East,Bauchi,Misau,Sarma/Akuyam,Sarma Cps
North East,Bauchi,Misau,Sirko,Alishsan Nur. Primary School Misau
North East,Bauchi,Misau,Sirko,Balen Hausa Primary School
North East,Bauchi,Misau,Sirko,Bawarin Primary School
North East,Bauchi,Misau,Sirko,Boggawo Primary School
North East,Bauchi,Misau,Sirko,Duniya Da Fadi Primary School
North East,Bauchi,Misau,Sirko,Dunkwi Ambi Primary School
North East,Bauchi,Misau,Sirko,Eldewo Nom Primary School
North East,Bauchi,Misau,Sirko,Fadangu Primary School
North East,Bauchi,Misau,Sirko,G.J.S.S Sirko
North East,Bauchi,Misau,Sirko,G.J.S.S. Dallari
North East,Bauchi,Misau,Sirko,G.J.S.S. Lagori
North East,Bauchi,Misau,Sirko,Garin Aja Primary School
North East,Bauchi,Misau,Sirko,Garin Bashari Primary School
North East,Bauchi,Misau,Sirko,Garin Yaro Primary School
North East,Bauchi,Misau,Sirko,Gaudo Primary School
North East,Bauchi,Misau,Sirko,Hassan Bauchi Memorial Nursery And Primary School Misau
North East,Bauchi,Misau,Sirko,Kerewo Primary School
North East,Bauchi,Misau,Sirko,Lafiya Madodo Primary School
North East,Bauchi,Misau,Sirko,Masar Academy Junior Secondary School
North East,Bauchi,Misau,Sirko,Nasarawa Nom Primary School
North East,Bauchi,Misau,Sirko,Rigar Jeji Primary Sch
North East,Bauchi,Misau,Sirko,Sarki Ahmed Sulaiman Primary School
North East,Bauchi,Misau,Sirko,Sirko Primary School
North East,Bauchi,Misau,Tofu,A.D. Rufai  Hadanatul Islam  Misau
North East,Bauchi,Misau,Tofu,Alhajiwo Primary School
North East,Bauchi,Misau,Tofu,Babajika Junior Secondary School
North East,Bauchi,Misau,Tofu,Chiratawa Primary School
North East,Bauchi,Misau,Tofu,Dabura Primary School
North East,Bauchi,Misau,Tofu,G.J.S.S. Dunkwi Ambi
North East,Bauchi,Misau,Tofu,G.J.S.S. Madakiri
North East,Bauchi,Misau,Tofu,Gaina Fulani Primary School
North East,Bauchi,Misau,Tofu,Galdimawo Primary School
North East,Bauchi,Misau,Tofu,Gallalan/Sorodo Primary School
North East,Bauchi,Misau,Tofu,Garin Makera Primary School
North East,Bauchi,Misau,Tofu,Goliyo Nom Primary School
North East,Bauchi,Misau,Tofu,Goron Kari Primary School
North East,Bauchi,Misau,Tofu,Jajelwo Nomadic Primary School
North East,Bauchi,Misau,Tofu,Kalagari Primary School
North East,Bauchi,Misau,Tofu,Lati Primary School
North East,Bauchi,Misau,Tofu,Madakiri Primary School
North East,Bauchi,Misau,Tofu,Mallam Hamayo Nursery And Primary School
North East,Bauchi,Misau,Tofu,Misau Model Academy Juniour Secondary School
North East,Bauchi,Misau,Tofu,Sambalo Primary School
North East,Bauchi,Misau,Tofu,Tambajam P.S
North East,Bauchi,Misau,Tofu,Tashar Tsamiya Primary School
North East,Bauchi,Misau,Tofu,Tofu Primary School
North East,Bauchi,Misau,Zadawa,Barmo Primary School
North East,Bauchi,Misau,Zadawa,Bukar Memorial Nur &Amp; Primary School
North East,Bauchi,Misau,Zadawa,Centre For Arabic And Islamic Culture
North East,Bauchi,Misau,Zadawa,Damata Primary School
North East,Bauchi,Misau,Zadawa,Dasko P.S
North East,Bauchi,Misau,Zadawa,G.G.J.S.S Fawari
North East,Bauchi,Misau,Zadawa,G.J.S.S. Dunkwi Kasuwa
North East,Bauchi,Misau,Zadawa,G.J.S.S. Mangari
North East,Bauchi,Misau,Zadawa,G.J.S.S. Zadawa
North East,Bauchi,Misau,Zadawa,G.J.S.S. Zadawa North
North East,Bauchi,Misau,Zadawa,Karewo Primary School
North East,Bauchi,Misau,Zadawa,Kaura Model Nursery And Primary School
North East,Bauchi,Misau,Zadawa,Lemaji Primary School
North East,Bauchi,Misau,Zadawa,Maahadu Quran Zadawa Nur And Primary School
North East,Bauchi,Misau,Zadawa,Madarasatul Ihayaus  Sunna Zadawa
North East,Bauchi,Misau,Zadawa,Misau Model Academic
North East,Bauchi,Misau,Zadawa,Nammare Nom Primary School
North East,Bauchi,Misau,Zadawa,Ngakole Primary School
North East,Bauchi,Misau,Zadawa,Zadawa C.P.S
North East,Bauchi,Misau,Zadawa,Zadawa North Primary School
North East,Bauchi,Misau,Zadawa,Zango Hamm Beti Primary School
North East,Bauchi,Misau,Zadawa,Zindi Primary School
North East,Bauchi,Ningi,Balma,Balma Primary School
North East,Bauchi,Ningi,Balma,Government Day Secondary School Balma
North East,Bauchi,Ningi,Balma,Government Junior Secondary School Gwam
North East,Bauchi,Ningi,Balma,Government Junior Secondary School Tashar Maje
North East,Bauchi,Ningi,Balma,Gwada Primary School
North East,Bauchi,Ningi,Balma,Kafin Lemo Primary School
North East,Bauchi,Ningi,Balma,Kwalangwadi Primary School
North East,Bauchi,Ningi,Balma,Madarasatul Tarbiyatul Aulud Darul Hadith Unguwar Tsamiya Gwam
North East,Bauchi,Ningi,Balma,Rakejuwa Nomadic Primary School
North East,Bauchi,Ningi,Balma,Tabla Primary School
North East,Bauchi,Ningi,Balma,Tashar Mangoro Primary School
North East,Bauchi,Ningi,Balma,Tsangayar Malam Musa Balma
North East,Bauchi,Ningi,Balma,Ulumudeen Islamiyya
North East,Bauchi,Ningi,Balma,Yalwan Baure Primary School
North East,Bauchi,Ningi,Bashe,Dabar Baga Primary School
North East,Bauchi,Ningi,Bashe,Diwa Primary School
North East,Bauchi,Ningi,Bashe,Gardo Nomadic Primary School
North East,Bauchi,Ningi,Bashe,Government Junior Secondary School Iyayi
North East,Bauchi,Ningi,Bashe,Government Junior Secondary School Tipchi
North East,Bauchi,Ningi,Bashe,Gwam Priamry School
North East,Bauchi,Ningi,Bashe,Kafin Zaki Primary School
North East,Bauchi,Ningi,Bashe,Kwabi Primary School
North East,Bauchi,Ningi,Bashe,Lamunde Nomadic Primary School
North East,Bauchi,Ningi,Bashe,Madarasatul Nurul Islam Tsangayar Kudu Kamfala Gwam
North East,Bauchi,Ningi,Bashe,Tudun Jarkoya Primary School
North East,Bauchi,Ningi,Bashe,Unguwar Dabo Primary School
North East,Bauchi,Ningi,Bashe,Unguwar Jikin Primary School
North East,Bauchi,Ningi,Bashe,Unguwar Tudu Primary School
North East,Bauchi,Ningi,Burra / Kyata,Ansarul Dini B/Kasuwa Burra Islamiyya
North East,Bauchi,Ningi,Burra / Kyata,Asas Nursery And Primary School Burra
North East,Bauchi,Ningi,Burra / Kyata,Burra Central Primary School
North East,Bauchi,Ningi,Burra / Kyata,Dangarafa Primary School
North East,Bauchi,Ningi,Burra / Kyata,Government Junior Secondary School Burra
North East,Bauchi,Ningi,Burra / Kyata,Government Junior Secondary School Kyata
North East,Bauchi,Ningi,Burra / Kyata,Government Junior Secondary School Magami
North East,Bauchi,Ningi,Burra / Kyata,Jibwis Science  Secondary School  Burra
North East,Bauchi,Ningi,Burra / Kyata,Kyata Islamiyya
North East,Bauchi,Ningi,Burra / Kyata,Kyata Primary School
North East,Bauchi,Ningi,Burra / Kyata,Magami Primary School
North East,Bauchi,Ningi,Burra / Kyata,Nurul Islam Fada
North East,Bauchi,Ningi,Burra / Kyata,School For Arabic And Islamic Studies Burra
North East,Bauchi,Ningi,Burra / Kyata,Tudu Wada Primary School
North East,Bauchi,Ningi,Dingis,Dingis Gari Primary School
North East,Bauchi,Ningi,Dingis,Government Junior Secondary School Jarkoya
North East,Bauchi,Ningi,Dingis,Government Junior Secondary School Tsangayar Dirya
North East,Bauchi,Ningi,Dingis,Kalijo Nomadic Primary School
North East,Bauchi,Ningi,Dingis,Katsinawan Dingis Primary School
North East,Bauchi,Ningi,Dingis,Kwongoro Primary School
North East,Bauchi,Ningi,Dingis,Madore Primary School
North East,Bauchi,Ningi,Dingis,Padina Primary School
North East,Bauchi,Ningi,Dingis,Rafin Chiyawa Primary School
North East,Bauchi,Ningi,Dingis,Rakama Primary School
North East,Bauchi,Ningi,Dingis,Silliya Primary School
North East,Bauchi,Ningi,Dingis,Tahafizul Quran Wadasatul Islamiya Katsinawar Dingis
North East,Bauchi,Ningi,Dingis,Tsangayar Dirya Primary School
North East,Bauchi,Ningi,Dingis,Tsangayar Malam Umar Tabla
North East,Bauchi,Ningi,Jangu,Arinja Primary School
North East,Bauchi,Ningi,Jangu,Gada Nomadic Primary School
North East,Bauchi,Ningi,Jangu,Gidan Baki Primary School
North East,Bauchi,Ningi,Jangu,Government Junior Secondary School Jimi
North East,Bauchi,Ningi,Jangu,Government Junior Secondary School Unguwan Tudu
North East,Bauchi,Ningi,Jangu,Hardo Madake Nomadic Primary School
North East,Bauchi,Ningi,Jangu,Iyayi Primary School
North East,Bauchi,Ningi,Jangu,Kanawa Primary School
North East,Bauchi,Ningi,Jangu,Lumbu Primary School
North East,Bauchi,Ningi,Jangu,Luntu Primary School
North East,Bauchi,Ningi,Jangu,Nurul Islam Yalwa
North East,Bauchi,Ningi,Jangu,Rumbu Primary School
North East,Bauchi,Ningi,Jangu,Sabuwar Gandu Primary School
North East,Bauchi,Ningi,Jangu,Shakaleme Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Bakin Dutse Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Gada Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Goran Dutse Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Government Junior Secondary School Kafin Chakuna
North East,Bauchi,Ningi,Kudu / Yamma,Government Junior Secondary School Zakara
North East,Bauchi,Ningi,Kudu / Yamma,Jigawar Kuran Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Karaya Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Kwanar Maizabi Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Nurun Islam Tsangayar Gabas Gadan Maiwa
North East,Bauchi,Ningi,Kudu / Yamma,Siri Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Sirin Kacha Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Takalafiya Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Yalwa Primary School
North East,Bauchi,Ningi,Kudu / Yamma,Yarmawa Nomadic Primary School
North East,Bauchi,Ningi,Kurmi,Dogon Ruwan Ari Nomadic Primary School
North East,Bauchi,Ningi,Kurmi,Government Junior Secondary School Ari
North East,Bauchi,Ningi,Kurmi,Government Junior Secondary School Gwandabi
North East,Bauchi,Ningi,Kurmi,Government Junior Secondary School Kafin Lemo
North East,Bauchi,Ningi,Kurmi,Government Junior Secondary School Kurmi
North East,Bauchi,Ningi,Kurmi,Government Junior Secondary School Zidanga
North East,Bauchi,Ningi,Kurmi,"Government Junior Secondary School, Kurmi"
North East,Bauchi,Ningi,Kurmi,Jimi Primary School
North East,Bauchi,Ningi,Kurmi,Katsinawa Nomadic Primary School
North East,Bauchi,Ningi,Kurmi,Limi Primary School
North East,Bauchi,Ningi,Kurmi,Marjaussunah Islamiya Gada
North East,Bauchi,Ningi,Kurmi,Marke Primary School
North East,Bauchi,Ningi,Kurmi,Rage Primary School
North East,Bauchi,Ningi,Kurmi,Shiba Nomadic Primary School
North East,Bauchi,Ningi,Nasaru,Alh Buba Anji
North East,Bauchi,Ningi,Nasaru,Attahir Primary School Nasaru
North East,Bauchi,Ningi,Nasaru,Bakaci Nomadic Primary School
North East,Bauchi,Ningi,Nasaru,Dankomi Primary School
North East,Bauchi,Ningi,Nasaru,Dogon Ruwa Primary School
North East,Bauchi,Ningi,Nasaru,Government Junior Secondary School Deru
North East,Bauchi,Ningi,Nasaru,Government Junior Secondary School Marke
North East,Bauchi,Ningi,Nasaru,Government Junior Secondary School Nasaru
North East,Bauchi,Ningi,Nasaru,Hardo Nagida Nomadic Primary School
North East,Bauchi,Ningi,Nasaru,"Nasaru Academy Nursery,Primary And Junior Secondary Schools"
North East,Bauchi,Ningi,Nasaru,Nasaru Central Primary School
North East,Bauchi,Ningi,Nasaru,Yola Nomadic Primary
North East,Bauchi,Ningi,Nasaru,Zahi Primary School
North East,Bauchi,Ningi,Ningi,Ari Primary School
North East,Bauchi,Ningi,Ningi,Baki Primary School Ningi
North East,Bauchi,Ningi,Ningi,Barkwanchi Primary School
North East,Bauchi,Ningi,Ningi,Batu Primary School
North East,Bauchi,Ningi,Ningi,Budugu Primary School
North East,Bauchi,Ningi,Ningi,Bunasai Primary School
North East,Bauchi,Ningi,Ningi,Bura Bura Primary School
North East,Bauchi,Ningi,Ningi,Chilli Primary School
North East,Bauchi,Ningi,Ningi,Chindako Nomadic Primary School
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Baki
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Batu
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Katsinawan Dingis
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Maiturare
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Manu
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Ningi Central
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Sabuwar Tiffi
North East,Bauchi,Ningi,Ningi,Government Junior Secondary School Sangara
North East,Bauchi,Ningi,Ningi,Jata Primary School
North East,Bauchi,Ningi,Ningi,Kafin Danyaya Primary School
North East,Bauchi,Ningi,Ningi,Maiturare Primary School
North East,Bauchi,Ningi,Ningi,Manu Memorial Primary School
North East,Bauchi,Ningi,Ningi,Ningi Central Primary School
North East,Bauchi,Ningi,Ningi,Sabuwar Tiffi Primary School
North East,Bauchi,Ningi,Ningi,Sangara Primary School
North East,Bauchi,Ningi,Sama,Baure Primary School
North East,Bauchi,Ningi,Sama,Gara Primary School
North East,Bauchi,Ningi,Sama,Government Junior Secondary School Gadar Maiwa
North East,Bauchi,Ningi,Sama,Government Junior Secondary School Silliya
North East,Bauchi,Ningi,Sama,Kafin Chakuna Primary School
North East,Bauchi,Ningi,Sama,Katsinawan Tabula Primary School
North East,Bauchi,Ningi,Sama,Kujera Primary School
North East,Bauchi,Ningi,Sama,Makanuwa Primary School
North East,Bauchi,Ningi,Sama,Nahalo Primary School
North East,Bauchi,Ningi,Sama,Nurul Islam
North East,Bauchi,Ningi,Sama,Sharaf Primary School
North East,Bauchi,Ningi,Sama,Tipchi Primary School
North East,Bauchi,Ningi,Sama,Zazika Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Basara Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Gdjss Guda
North East,Bauchi,Ningi,Tiffi / Guda,Government Junior Secondary School Gudduba
North East,Bauchi,Ningi,Tiffi / Guda,Government Junior Secondary School Siri
North East,Bauchi,Ningi,Tiffi / Guda,Government Junior Secondary School Tiffi
North East,Bauchi,Ningi,Tiffi / Guda,Guda Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Kawari Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Madarasatul Darul Quran Zakara
North East,Bauchi,Ningi,Tiffi / Guda,Rutai Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Tibako Nomadic Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Tiffi Primary School
North East,Bauchi,Ningi,Tiffi / Guda,Zakara Primary School
North East,Bauchi,Shira,Andubun,Abisa Primary School
North East,Bauchi,Shira,Andubun,Andubun Primary School
North East,Bauchi,Shira,Andubun,Bage Primary School
North East,Bauchi,Shira,Andubun,Dalli Primary School
North East,Bauchi,Shira,Andubun,Dobi-Hardori Primary School
North East,Bauchi,Shira,Andubun,Goga Primary School
North East,Bauchi,Shira,Andubun,Government Junior Secondary School Upper Basic Sawi
North East,Bauchi,Shira,Andubun,Ibbawo Primary School
North East,Bauchi,Shira,Andubun,Isalulkhair Nursery And Primary School
North East,Bauchi,Shira,Andubun,Kafingara Primary School
North East,Bauchi,Shira,Andubun,Ligada Malori Universal Basic Education Primary School Primary School
North East,Bauchi,Shira,Andubun,Rimikatanga Primary School
North East,Bauchi,Shira,Andubun,Yakori Primary School
North East,Bauchi,Shira,Andubun,Yalwadinmagani Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Adamami Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Balijam Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Beli Central Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Dango Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Eldewo Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Gotal Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Government Junior Secondary School Upper Basic Yana
North East,Bauchi,Shira,Beli/Gagidaba,Iliyari Hausawa Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Kakkaki Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Madobi Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Saburuji Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Shabewa Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Shagogo Primary School
North East,Bauchi,Shira,Beli/Gagidaba,Yana Model Primary School
North East,Bauchi,Shira,Bukul/Bangire,Bangire Primary School
North East,Bauchi,Shira,Bukul/Bangire,Gaburgu Primary School
North East,Bauchi,Shira,Bukul/Bangire,Gallamari Primary School
North East,Bauchi,Shira,Bukul/Bangire,Government Junior Secondary School Upper Basic Bukul
North East,Bauchi,Shira,Bukul/Bangire,Govt Day Junior Secondary School Bage
North East,Bauchi,Shira,Bukul/Bangire,Gudda Universal Basic Educationprimary School
North East,Bauchi,Shira,Bukul/Bangire,Jaka Primary School
North East,Bauchi,Shira,Bukul/Bangire,Kael Primary School
North East,Bauchi,Shira,Bukul/Bangire,Kamaku Primary School
North East,Bauchi,Shira,Bukul/Bangire,Kungo Primary School
North East,Bauchi,Shira,Bukul/Bangire,Makarantan Malam Kamisu Magaji Zigau
North East,Bauchi,Shira,Bukul/Bangire,Makarantar Malam Ibrahim Liman Bukul
North East,Bauchi,Shira,Bukul/Bangire,Sawi Primary School
North East,Bauchi,Shira,Bukul/Bangire,Tarun Primary School
North East,Bauchi,Shira,Disina,Disina North Primary School
North East,Bauchi,Shira,Disina,Disina Pilot Science Primary School
North East,Bauchi,Shira,Disina,Disina West Primary School
North East,Bauchi,Shira,Disina,Government Day Secondary School Disina
North East,Bauchi,Shira,Disina,Iftidaiya Islamiya Disindisina
North East,Bauchi,Shira,Disina,Isalulkhair School For Arabic And Higher Islamic Studies
North East,Bauchi,Shira,Disina,Kare Primary School
North East,Bauchi,Shira,Disina,Khalid Bn Walid
North East,Bauchi,Shira,Disina,Nuruddeen Islamiya Eldewo
North East,Bauchi,Shira,Disina,Sambawal Primary School
