ZONE,STATE,LGA
NORTH-EAST,YOBE,GEIDAM
NORTH-EAST,YOBE,GUJBA
NORTH-EAST,YOBE,GULANI
NORTH-EAST,YOBE,JAKUSKO
NORTH-EAST,YOBE,KARASUWA
NORTH-EAST,YOBE,MACHINA
NORTH-EAST,YOBE,NANGERE
NORTH-EAST,YOBE,NGURU
NORTH-EAST,YOBE,POTISKUM
NORTH-EAST,YOBE,TARMUWA
NORTH-EAST,YOBE,YUNUSARI
NORTH-EAST,YOBE,YUSUFARI
NORTH-WEST,KADUNA,BIRNIN GWARI
NORTH-WEST,KADUNA,CHIKUN
NORTH-WEST,KADUNA,GIWA
NORTH-WEST,KADUNA,IGABI
NORTH-WEST,KADUNA,IKARA
NORTH-WEST,KADUNA,JABA
NORTH-WEST,KADUNA,JEMA'A
NORTH-WEST,KADUNA,KACHIA
NORTH-WEST,KADUNA,KADUNA NORTH
NORTH-WEST,KADUNA,KADUNA SOUTH
NORTH-WEST,KADUNA,KAGARKO
NORTH-WEST,KADUNA,KAJURU
NORTH-WEST,KADUNA,KAURA
NORTH-WEST,KADUNA,KAURU
NORTH-WEST,KADUNA,KUBAU
NORTH-WEST,KADUNA,KUDAN
NORTH-WEST,KADUNA,LERE
NORTH-WEST,KADUNA,MAKARFI
NORTH-WEST,KADUNA,SABON GARI
NORTH-WEST,KADUNA,SANGA
NORTH-WEST,KADUNA,SOBA
NORTH-WEST,KADUNA,ZANGON KATAF
NORTH-WEST,KADUNA,ZARIA
NORTH-WEST,KANO,AJINGI
NORTH-WEST,KANO,ALBASU
NORTH-WEST,KANO,BAGWAI
NORTH-WEST,KANO,BEBEJI
NORTH-WEST,KANO,BICHI
NORTH-WEST,KANO,BUNKURE
NORTH-WEST,KANO,DALA
NORTH-WEST,KANO,DAMBATTA
NORTH-WEST,KANO,DAWAKIN KUDU
NORTH-WEST,KANO,DAWAKIN TOFA
NORTH-WEST,KANO,DOGUWA
NORTH-WEST,KANO,FAGGE
NORTH-WEST,KANO,GABASAWA
NORTH-WEST,KANO,GARKO
NORTH-WEST,KANO,GARUN MALLAM
NORTH-WEST,KANO,GAYA
NORTH-WEST,KANO,GEZAWA
NORTH-WEST,KANO,GWALE
NORTH-WEST,KANO,GWARZO
NORTH-WEST,KANO,KABO
NORTH-WEST,KANO,KANO MUNICIPAL
NORTH-WEST,KANO,KARAYE
NORTH-WEST,KANO,KIBIYA
NORTH-WEST,KANO,KIRU
NORTH-WEST,KANO,KUMBOTSO
NORTH-WEST,KANO,KUNCHI
NORTH-WEST,KANO,KURA
NORTH-WEST,KANO,MADOBI
NORTH-WEST,KANO,MAKODA
NORTH-WEST,KANO,MINJIBIR
NORTH-WEST,KANO,NASARAWA
NORTH-WEST,KANO,RANO
NORTH-WEST,KANO,RIMIN GADO
NORTH-WEST,KANO,ROGO
NORTH-WEST,KANO,SHANONO
NORTH-WEST,KANO,SUMAILA
NORTH-WEST,KANO,TAKAI
NORTH-WEST,KANO,TARAUNI
NORTH-WEST,KANO,TOFA
NORTH-WEST,KANO,TSANYAWA
NORTH-WEST,KANO,TUDUN WADA
NORTH-WEST,KANO,UNGOGO
NORTH-WEST,KANO,WARAWA
NORTH-WEST,KANO,WUDIL
NORTH-WEST,KATSINA,BAKORI
NORTH-WEST,KATSINA,BATAGARAWA
NORTH-WEST,KATSINA,BATSARI
NORTH-WEST,KATSINA,BAURE
NORTH-WEST,KATSINA,BINDAWA
NORTH-WEST,KATSINA,CHARANCHI
NORTH-WEST,KATSINA,DANDUME
NORTH-WEST,KATSINA,DANJA
NORTH-WEST,KATSINA,DAN MUSA
NORTH-WEST,KATSINA,DAURA
NORTH-WEST,KATSINA,DUTSI
NORTH-WEST,KATSINA,DUTSIN-MA
NORTH-WEST,KATSINA,FASKARI
NORTH-WEST,KATSINA,FUNTUA
NORTH-WEST,KATSINA,INGAWA
NORTH-WEST,KATSINA,JIBIA
NORTH-WEST,KATSINA,KAFUR
NORTH-WEST,KATSINA,KAITA
NORTH-WEST,KATSINA,KANKARA
NORTH-WEST,KATSINA,KANKIA
NORTH-WEST,KATSINA,KATSINA
NORTH-WEST,KATSINA,KURFI
NORTH-WEST,KATSINA,KUSADA
NORTH-WEST,KATSINA,MAI'ADUA
NORTH-WEST,KATSINA,MALUMFASHI
NORTH-WEST,KATSINA,MANI
NORTH-WEST,KATSINA,MASHI
NORTH-WEST,KATSINA,MATAZU
NORTH-WEST,KATSINA,MUSAWA
NORTH-WEST,KATSINA,RIMI
NORTH-WEST,KATSINA,SABUWA
NORTH-WEST,KATSINA,SAFANA
NORTH-WEST,KATSINA,SANDAMU
NORTH-WEST,KATSINA,ZANGO
NORTH-WEST,SOKOTO,BINJI
NORTH-WEST,SOKOTO,BODINGA
NORTH-WEST,SOKOTO,DANGE-SHUNI
NORTH-WEST,SOKOTO,GADA
NORTH-WEST,SOKOTO,GORONYO
NORTH-WEST,SOKOTO,GUDU
NORTH-WEST,SOKOTO,GWADABAWA
NORTH-WEST,SOKOTO,ILLELA
NORTH-WEST,SOKOTO,ISA
NORTH-WEST,SOKOTO,KWARE
NORTH-WEST,SOKOTO,RABAH
NORTH-WEST,SOKOTO,SABON BIRNI
NORTH-WEST,SOKOTO,SHAGARI
NORTH-WEST,SOKOTO,SILAME
NORTH-WEST,SOKOTO,SOKOTO NORTH
NORTH-WEST,SOKOTO,SOKOTO SOUTH
NORTH-WEST,SOKOTO,TAMBUWAL
NORTH-WEST,SOKOTO,TANGAZA
NORTH-WEST,SOKOTO,TURETA
NORTH-WEST,SOKOTO,WAMAKKO
NORTH-WEST,SOKOTO,WURNO
NORTH-WEST,SOKOTO,YABO
NORTH-WEST,KEBBI,ALEIRO
NORTH-WEST,KEBBI,AREWA
NORTH-WEST,KEBBI,ARGUNGU
NORTH-WEST,KEBBI,AUGIE
NORTH-WEST,KEBBI,BAGUDO
NORTH-WEST,KEBBI,BIRNIN KEBBI
NORTH-WEST,KEBBI,BUNZA
NORTH-WEST,KEBBI,DANDI
NORTH-WEST,KEBBI,FAKAI
NORTH-WEST,KEBBI,GWANDU
NORTH-WEST,KEBBI,JEGA
NORTH-WEST,KEBBI,KALGO
NORTH-WEST,KEBBI,KOKO/BESSE
NORTH-WEST,KEBBI,MAIYAMA
NORTH-WEST,KEBBI,NGASKI
NORTH-WEST,KEBBI,SAKABA
NORTH-WEST,KEBBI,SHANGA
NORTH-WEST,KEBBI,SURU
NORTH-WEST,KEBBI,WASAGU/DANKO
NORTH-WEST,KEBBI,YAURI
NORTH-WEST,KEBBI,ZURU
NORTH-WEST,ZAMFARA,ANKA
NORTH-WEST,ZAMFARA,BAKURA
NORTH-WEST,ZAMFARA,BIRNIN MAGAJI/KIYAW
NORTH-WEST,ZAMFARA,BUKKUYUM
NORTH-WEST,ZAMFARA,BUNGUDU
NORTH-WEST,ZAMFARA,GUMMI
NORTH-WEST,ZAMFARA,GUSAU
NORTH-WEST,ZAMFARA,KAURA NAMODA
NORTH-WEST,ZAMFARA,MARADUN
NORTH-WEST,ZAMFARA,MARU
NORTH-WEST,ZAMFARA,SHINKAFI
NORTH-WEST,ZAMFARA,TALATA MAFARA
NORTH-WEST,ZAMFARA,TSAFE
NORTH-WEST,ZAMFARA,ZURMI
NORTH-WEST,JIGAWA,AUYO
NORTH-WEST,JIGAWA,BABURA
NORTH-WEST,JIGAWA,BIRINIWA
NORTH-WEST,JIGAWA,BIRNIN KUDU
NORTH-WEST,JIGAWA,BUJI
NORTH-WEST,JIGAWA,DUTSE
NORTH-WEST,JIGAWA,GAGARAWA
NORTH-WEST,JIGAWA,GARKI
NORTH-WEST,JIGAWA,GUMEL
NORTH-WEST,JIGAWA,GURI
NORTH-WEST,JIGAWA,GWARAM
NORTH-WEST,JIGAWA,GWIWA
NORTH-WEST,JIGAWA,HADEJIA
NORTH-WEST,JIGAWA,JAHUN
NORTH-WEST,JIGAWA,KAFIN HAUSA
NORTH-WEST,JIGAWA,KAUGAMA
NORTH-WEST,JIGAWA,KAZAURE
NORTH-WEST,JIGAWA,KIRI KASAMA
NORTH-WEST,JIGAWA,KIYAWA
NORTH-WEST,JIGAWA,MAIGATARI
NORTH-WEST,JIGAWA,MALAM MADORI
NORTH-WEST,JIGAWA,MIGA
NORTH-WEST,JIGAWA,RINGIM
NORTH-WEST,JIGAWA,RONI
NORTH-WEST,JIGAWA,SULE TANKARKAR
NORTH-WEST,JIGAWA,TAURA
NORTH-WEST,JIGAWA,YANKWASHI
